Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta Correcta,Explicacion,Referencia
"¿Cuál es el valor recomendado de uniformidad para el alumbrado interior según los criterios de proyectos?","0,4.","0,5.","0,6.","0,7.","C","Para interiores se recomienda una uniformidad de 0,6, mientras que para exteriores es de 0,4.","Uniformitat: Valors recomanats: 0,6 per enllumenat interior"
"¿Qué componente de una luminaria tiene como función específica evitar el deslumbramiento?","Reflector.","Carcasa.","Difusor.","Equipo de control.","C","El difusor cierra la lámpara y difunde el haz para evitar el deslumbramiento directo.","Difusor: carcassa o pantalla que tanca la làmpada. Per difondre el feix de llum i evitar enlluernament."
"¿Cuál es la vida útil estándar de una lámpara incandescente convencional?","500 h.","1000 h.","2000 h.","5000 h.","B","Las lámparas incandescentes convencionales tienen una vida útil muy corta, de aproximadamente 1000 horas.","Convencionals: gas és mescla d’argó i nitrogen. Vida útil ~ 1000h."
"¿Qué nivel de IRC (Ra) se considera estándar para LEDs de uso profesional?","Ra = 65.","Ra = 80.","Ra > 90.","Ra = 100.","C","Aunque el estándar general es 65-80, para aplicaciones profesionales se exige una mayor calidad cromática.","LEDs per a ús professional, IRC>90."
"¿Qué normativa establece las características del alumbrado de emergencia en edificios de pública concurrencia?","CTE DB HE3.","REBT ITC BT 28.","UNE-EN 12464.","CTE DB SI.","B","La Instrucción Técnica Complementaria 28 del Reglamento Electrotécnico de Baja Tensión regula estos edificios.","REBT ITC BT 28 | Edificis de pública concurrència | Estableix les característiques de l’enllumenat d’emergència."
"¿Cuál es el rango de temperatura de color para que una luz sea considerada 'blanca neutra' en tecnología LED?","< 3.500ºK.","3.600ºK – 4.500ºK.","5.000ºK – 6.000ºK.","> 5.000ºK.","B","El texto categoriza el blanco neutro específicamente en el rango de 3600 a 4500 Kelvin.","Llum blanca neutra: 3.600ºK – 4.500ºK"
"¿Qué parámetro se define como el cociente entre la iluminancia mínima y la iluminancia media?","Rendimiento.","Factor de reflexión.","Uniformidad (U).","Eficacia luminosa.","C","La uniformidad mide la distribución de la luz en un espacio mediante este cociente adimensional.","U: Uniformitat | Quocient entre lux min i lux mig [adimensional]."
"¿Cuál es la iluminancia mínima requerida por el CTE DB SUA4 para instalaciones en el exterior?","5 lux.","10 lux.","20 lux.","50 lux.","C","El CTE establece 20 lux para exteriores y 100 lux para interiores como mínimos de seguridad.","Estableix nivells mínims d’il·luminància per les instal·lacions: - 20 lux a l’exterior"
"¿Qué tipo de encendido se recomienda para zonas con baja frecuencia de operaciones como pasillos o vestíbulos?","Encendido simple.","Encendido conmutado.","Directo desde cuadro/subcuadro eléctrico.","Gestionado por sistema DALI.","C","Para zonas de poco tránsito o uso general, el control se centraliza en los cuadros eléctricos.","Directe des de quadre/subquadre elèctric: per zones amb baixa freqüència d’operacions d’encesa (passadissos, vestíbuls...)"
"¿Qué valor de iluminancia óptima se indica para una biblioteca o sala de estudio?","300 lux.","400 lux.","500 lux.","750 lux.","C","Según la tabla de niveles requeridos, las bibliotecas tienen un mínimo de 300 y un óptimo de 500 lux.","Bibliotecas y salas de estudio | Óptimo (LUX): 500"
"¿Cuál es la función del 'balasto' en las lámparas de descarga?","Iniciar la descarga eléctrica mediante un pulso.","Limitar la corriente que atraviesa la lámpara.","Contener el gas ionizado.","Transformar la luz ultravioleta en visible.","B","El balasto es un componente auxiliar necesario para estabilizar y limitar la corriente en el arco eléctrico.","Balast, per limitar la corrent que travessa la làmpada."
"¿Qué porcentaje de la luz puede llegar a reflejar un techo o pared de color blanco?","Hasta el 50%.","Hasta el 70%.","Hasta el 85%.","Hasta el 95%.","C","Los colores claros tienen factores de reflexión próximos a 1 (o 100%), siendo el blanco el más eficiente.","El techo o la pared blancos reflejan hasta el 85 % de la luz"
"¿Qué nivel de iluminancia debe garantizar el alumbrado antipánico?","1 lux a nivel del suelo.","0,5 lux en todo el espacio hasta 1 metro de altura.","5 lux en los equipos de protección.","15 lux en zonas peligrosas.","B","El alumbrado antipánico busca evitar el caos permitiendo ver obstáculos hasta una altura de 1 metro.","Enllumenat anti-pànic: subministra 0,5 lux en tot l’espai des del terra a 1 metre d’alçada."
"¿Cuál es el IRC de una lámpara de vapor de sodio de baja presión?","100.","85.","46.","1.","D","Las lámparas de sodio de baja presión son extremadamente ineficientes en reproducción cromática, con un IRC de 1.","Vapor de sodio baja presión | IRC: 1"
"¿Qué sistema de control se define por las siglas DALI?","Digital Addressable Lighting Interface.","Direct Analog Light Integration.","Distributed Automatic Luminaire Index.","Data Access Lighting Instrument.","A","DALI es el estándar digital para el control y regulación de sistemas de iluminación LED.","DALI (Digital Addressable Lighting Interface): estàndard de control d’il·luminació de sistemes LED."
"¿Qué tipo de luminaria se utiliza para iluminar grandes áreas desde cierta distancia concentrando la luz mediante lentes?","Downlights.","Pantallas.","Proyectores.","Regletas.","C","Los proyectores utilizan ópticas para proyectar el flujo luminoso a grandes distancias, como en estadios.","Projectors: concentren la llum en un angle sòlid mitjançant lents per aconseguir una elevada intensitat lluminosa en una zona determinada."
"¿Cuál es el VEEI límite para locales con un nivel de iluminación superior a 600 lux?","2,5.","4,0.","6,0.","10,0.","A","Para locales con alta exigencia de iluminancia, el límite de eficiencia energética es más estricto (2,5).","Locales con nivel de iluminación superior a 600lux | VEEI límite: 2,5"
"¿En qué unidades se mide la eficacia luminosa de una lámpara?","Lux (lx).","Candela (cd).","Lumen por vatio (lm/W).","Candela por metro cuadrado (cd/m2).","C","La eficacia mide cuánto flujo luminoso se obtiene por cada unidad de potencia eléctrica consumida.","η: Eficàcia lluminosa | Quantitat de flux lluminós emès per una làmpada per cada unitat de potència elèctrica consumida [lm/W]."
"¿Qué nivel de IRC corresponde a la categoría 'Nivell 1B'?","Ra = 90-100.","Ra = 80-89.","Ra = 70-79.","Ra < 40.","B","La escala de IRC divide la calidad en niveles, siendo el 1B el segundo más alto (80-89).","Nivell 1B: Ra = 80-89"
"¿Cuál es la iluminancia mínima requerida para un dormitorio en una vivienda?","50 lux.","100 lux.","150 lux.","200 lux.","B","Según la tabla de niveles para viviendas, los dormitorios requieren un mínimo de 100 lux.","Dormitorios | Mínimo (LUX): 100"
"¿Qué parámetro representa la cantidad de energía radiada en las diferentes áreas visibles del espectre?","Temperatura de color.","Índice de reproducción cromática.","Distribución espectral.","Flujo luminoso.","C","La distribución espectral muestra gráficamente cómo se reparte la energía en las distintas longitudes de onda visibles.","Distribució espectral | Representa la quantitat d’energia radiada que emet la font de llum en les diferents àrees visibles de l’espectre."
"¿Es obligatorio instalar alumbrado de emergencia en estacionamientos cerrados?","Solo si tienen más de 100 plazas.","Solo si son de uso público.","Sí, si están cerrados y son para más de 5 vehículos.","No es obligatorio en estacionamientos.","C","La normativa especifica la obligatoriedad en parkings cerrados a partir de 5 vehículos.","On cal instal·lar enllumenat d’emergència: Estacionaments tancats per més de 5 vehicles."
"¿Qué propiedad física de la luz utilizan las luminarias con cerramientos transparentes de estructura prismática?","Reflexión.","Refracción.","Difusión.","Absorción.","B","La refracción permite desviar los rayos de luz al pasar por materiales de distinta densidad o forma prismática.","Refracció: amb tancaments transparents d’estructura prismàtica"
"¿Cuál es la iluminancia mínima requerida para grandes oficinas (CAD, CAM, CAE)?","300 lux.","450 lux.","500 lux.","750 lux.","C","Las oficinas con tareas de diseño asistido por ordenador requieren niveles superiores, mínimo 500 lux.","Grandes oficinas, CAD, CAM, CAE | Mínimo (LUX): 500"
"¿Qué tipo de lámpara LED cuenta con tres semiconductores de colores primarios?","LED de luz blanca fría.","LED profesional IRC>90.","LED RGB.","LED regulable DALI.","C","Los LEDs RGB combinan rojo, verde y azul para generar cualquier color o luz blanca.","en el cas de ser LED RGB compta amb tres semiconductors un de cada color primari de llum (vermell, verd i blau)."
"¿Qué documento voluntario aporta recomendaciones para la iluminación en el ámbito de la sanidad?","CTE DB HE3.","Llibre blanc.","Documents sectorials.","Normes UNE.","C","Los documentos sectoriales son reglamentaciones voluntarias que ofrecen guías específicas para sectores como sanidad o deportes.","Documents sectorials | Aporten recomanacions, bones pràctiques... Sanitat"
"¿Cuál es la vida útil estimada de una lámpara LED funcionando 12 horas al día?","5,7 años.","7,6 años.","11,4 años.","20 años.","C","Basado en una vida útil de 50.000-100.000 horas, el texto calcula 11,4 años para un uso de 12h/día.","La vida útil estàndard entre 50.000 i 100.000 hores... 11,4 anys si 12h/dia)."
"¿Qué tipo de encendido se utiliza en recintos con más de una puerta de acceso?","Encendido simple.","Encendido conmutado.","Encendido temporizado.","Encendido directo.","B","El encendido conmutado permite accionar las luces desde múltiples puntos de control.","Commutat: locals o recintes amb accionament des de diversos punts (recintes amb més d’una porta d’accés)."
"¿Cuál es el VEEI límite para habitaciones de hospital según el CTE DB HE3?","3,0.","3,5.","4,0.","5,0.","C","Las habitaciones de hospital tienen un límite de eficiencia de 4,0.","Habitaciones de hospital (3) | VEEI límite: 4,0"
"¿Qué nivel de iluminancia mínima se requiere en zonas de circulación y pasillos de edificios?","20 lux.","50 lux.","100 lux.","150 lux.","B","Para zonas de paso generales, el requerimiento mínimo es de 50 lux.","Zonas de circulación y pasillos | Mínimo (LUX): 50"
"¿Qué parámetro mide la intensidad de flujo luminoso proyectada en una determinada dirección?","Flujo luminoso (F).","Intensidad luminosa (I).","Iluminancia (E).","Luminancia (L).","B","A diferencia del flujo (total), la intensidad se refiere a una dirección específica y se mide en candelas.","I: Intensitat lluminosa | Intensitat de flux lluminós projectada en una determinada direcció. Es mesura en candel·les (cd)."
"¿Cuál es el tiempo mínimo de autonomía que debe mantener el alumbrado de evacuación?","30 minutos.","1-2 horas mínimo.","5 horas.","Toda la noche.","B","La normativa exige que el sistema funcione al menos entre 1 y 2 horas para permitir la salida segura.","Enllumenat d’evacuació... Es manté 1-2 hores mínim (segons ús)."
"¿Qué tipo de lámpara incandescente utiliza gases halógenos (Cl, Br) para proteger el filamento?","Convencional.","Halógena.","De descarga.","Fluorescente.","B","Los halógenos permiten una mayor vida útil y eficiencia que las incandescentes normales al proteger el tungsteno.","Halògenes: gas amb halogen (Cl, Br) per protegir el filament. Vida útil ~ 2000h."
"¿Qué software se menciona como el más utilizado para realizar cálculos exhaustivos de iluminación?","AutoCAD.","DIALUX.","LUMEN.","REVIT.","B","DIALUX es la herramienta informática de referencia para proyectos de ingeniería de iluminación.","el més utilitzat dels quals és el DIALUX, però es poden arribar a fer càlculs manuals aproximats."
