Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta Correcta,Explicacion,Referencia
"Según el texto, ¿qué permite conocer en tiempo real los sistemas telemáticos de medida?","La ubicación exacta de todo el personal de mantenimiento.","El consumo energético para mejorar las condiciones del contrato de energía.","La fecha de caducidad de los equipos de climatización.","El nivel de emisiones de CO2 de los vehículos de los empleados.","B","Los sistemas telemáticos permiten monitorizar el consumo en tiempo real para optimizar la contratación eléctrica.","Mitjançant els sistemes telemàtics de mesura de l'energia podem conèixer en temps real el consum i millorar les condicions del nostre contracte d'energia."
"¿Qué elemento de campo se utiliza específicamente para detectar el flujo en una instalación?","Sonda de inmersión.","Interruptor de flujo (interruptor de flux).","Presostato diferencial para aire.","Sonda de conducto.","B","El texto lista los interruptores de flujo como parte de los equipos de campo, específicamente dentro de las sondas de presión y flujo.","Sondes de pressió: pressòstats diferencials per aire, transmissors de pressió diferencial, transmissors de pressió de líquids i gasos, interruptors de flux..."
"¿Cómo contribuye la eficiencia energética a la 'economía de proximidad'?","Obligando a comprar solo productos locales.","Optimizando el uso de recursos naturales y fomentando el consumo responsable.","Reduciendo los impuestos a las empresas cercanas.","Aumentando el coste de la energía importada.","B","La optimización de recursos naturales a través de la eficiencia fomenta un modelo de economía de proximidad.","L'eficiència energètica permet optimitzar l'ús de recursos naturals. i crear economia de proximitat, fomentant amb això el consum responsable."
"En un sistema DDC, ¿en qué formato se produce normalmente la señal de salida que actúa sobre los actuadores?","Digital puro sin traducción.","Analógico (tras ser traducida desde un valor numérico digital).","Binario de 1 bit.","Protocolo SQL.","B","La estrategia de cálculo genera un valor digital que luego se traduce a analógico para comandar los actuadores.","L'estratègia de càlcul produeix un senyal de sortida numèric (digital) que es torna a traduir (normalment) a format analògic i que actua sobre els actuadors."
"¿Qué ventaja ofrece un sistema integrado de gestión de edificios respecto a la gestión de múltiples inmuebles?","Requiere un servidor físico independiente en cada edificio.","Un único sistema puede realizar la gestión de varios edificios a través de Internet.","Elimina la necesidad de conexión a Internet para la supervisión remota.","Solo permite la gestión de un edificio por cada licencia de software.","B","La conectividad a través de Internet permite centralizar la gestión de diversos edificios en un solo sistema.","Un únic sistema pot realitzar la gestió de varis edificis, estenent la connectivitat a través d'Internet."
"¿Qué tipo de sondas de temperatura se mencionan explícitamente como equipos de campo?","Solo sondas de ambiente interior.","De exterior, de inmersión, de conducto y con modificación del punto de consigna.","Sondas infrarrojas de larga distancia.","Termómetros de mercurio digitales.","B","El texto detalla varios tipos de sondas de temperatura utilizadas en las instalaciones.","Sondes de temperatura: d'exterior, d'immersió, de conducte, sondes amb modificació del punt de consigna, etc."
"En el ámbito de la industria 4.0, ¿cómo se busca reducir el consumo de energía final?","Reduciendo las horas de trabajo de los operarios.","Utilizando las mejores técnicas disponibles e invirtiendo en innovación.","Cerrando las plantas de producción durante los picos de demanda.","Sustituyendo toda la maquinaria eléctrica por manual.","B","La industria 4.0 optimiza procesos mediante innovación y las mejores técnicas disponibles.","L'anomenada indústria 4.0 continua optimitzant els seus processos i reduint el consum d'energia final utilitzant les millors tècniques disponibles i invertint en innovació."
"¿Qué función cumple el 'controlador de zona' según el esquema de arquitectura de un sistema DDC?","Gestión de bases de datos históricas.","Gestión de energía en zonas, control de zonas y presurización de ambientes.","Conexión directa con el gestor de la instalación vía satélite.","Control exclusivo de la iluminación exterior.","B","El esquema del sistema DDC asigna funciones específicas de zona a estos controladores.","Controladors de zona: Gestió d'Energia en zones, Control de Zones, Presurització ambients."
"¿Cuál es el objetivo primordial de un sistema de control en relación con la mano de obra?","Aumentar el número de técnicos necesarios para la supervisión.","Reducir la cantidad de mano de obra necesaria y minimizar errores humanos.","Sustituir totalmente a los jefes de mantenimiento.","Formar a los empleados en protocolos de comunicación cerrados.","B","La automatización reduce la necesidad de intervención manual diaria, bajando costes y errores.","Reducció de mà d’obra. El control redueix la quantitat de mà d'obra necessària per a fer funcionar i mantenir els sistemes d'un edifici, reduint també així els costos d'explotació i els errors humans."
"¿Qué tecnología europea garantiza la compatibilidad entre dispositivos domóticos de diferentes fabricantes?","LONWorks","BACnet","KNX-EIB","Modbus","C","KNX-EIB se destaca como la única tecnología europea que asegura esta interoperabilidad entre marcas.","KNX-EIB es l'única tecnologia europea que garanteix la compatibilitat entre dispositius domòtics de diferents fabricants."
"Dentro de un iBMS, ¿qué incluye el control del sistema eléctrico?","Solo el encendido de luces de emergencia.","Baterías de corrección del factor de potencia y control de consumos.","La facturación automática a los inquilinos.","El mantenimiento de los generadores diésel únicamente.","B","El control eléctrico en un sistema integrado abarca la eficiencia del factor de potencia y la monitorización de consumos.","Control sistema elèctric: bateries de correcció del factor de potència, control de consums..."
"¿Qué requisito se menciona para las redes LON si estas tienen mucha longitud?","Cambiar el bus de 2 hilos por uno de 4 hilos.","Necesitan de repetidores.","Deben migrar obligatoriamente a TCP/IP.","Requieren una licencia adicional de Echelon Corporation.","B","La topología LON requiere repetidores de señal para mantener la integridad en distancias largas.","Necessita de repetidors si les xarxes tenen molta longitud."
"En la gestión empresarial, ¿qué permiten los sistemas de gestión de la energía con ciclos de mejora continua?","Eliminar la competencia en el sector energético.","Optimizar recursos y reducir emisiones de gases de efecto invernadero.","Aumentar el precio de venta de los productos.","Reducir la inversión en innovación tecnológica.","B","Los ciclos de mejora continua en las empresas buscan la optimización y la sostenibilidad ambiental.","Les empreses estableixen sistemes de gestió de lenergia amb cicles de millora contínua que permeten optimitzar recursos i reduir emissions de gasos defecte hivernacle."
"¿Qué componente del sistema DDC se encarga de la lectura de señales de los sensores?","El Lloc Central.","El Controlador (DDC).","La Tarjeta de comunicación del servidor.","El Web Server.","B","El controlador es el procesador encargado de leer físicamente las señales enviadas por los sensores.","Un controlador (DDC) és un processador que llegeix els senyals enviats per un conjunt de sensors."
"¿Cuál es una ventaja de los edificios inteligentes frente a imprevistos en sus sistemas?","No sufren nunca imprevistos.","Pueden reaccionar más rápido y mejor que con una gestión humana simple.","Se apagan automáticamente hasta que llega un técnico.","Envían un informe automático a la Unión Europea.","B","La automatización permite una respuesta superior a la humana ante fallos o imprevistos.","Poden reaccionar davant d'un imprevist d'algun sistema més ràpid i millor que amb la gestió humana simple."
"¿Qué tipo de sondas de presión se utilizan para líquidos y gases?","Presostatos diferenciales para aire.","Transmisores de presión de líquidos y gases.","Sondas de inmersión térmica.","Sondas de velocidad de aire.","B","El texto distingue entre presostatos para aire y transmisores específicos para fluidos líquidos y gaseosos.","Sondes de pressió: ... transmissors de pressió de líquids i gasos."
"¿Qué permite la integración de los sistemas de gestión con la red de cableado estructurado?","El protocolo Modbus.","El protocolo TCP/IP.","El bus de 2 hilos de LON.","Las interfaces propietarias.","B","TCP/IP es el protocolo que facilita la integración con las infraestructuras de red estándar (cableado estructurado).","TCP/IP ... Permet la integració dels sistemes de gestió amb la xarxa de cablejat estructurat."
"Según el documento, ¿qué elementos puede gestionar la domótica para mejorar la eficiencia?","Solo la iluminación y la climatización.","Iluminación, climatización, agua caliente sanitaria, riego y otros.","Únicamente el contrato de energía con la comercializadora.","La velocidad de los ascensores exclusivamente.","B","La domótica abarca múltiples subsistemas del edificio para optimizar su funcionamiento global.","La incorporació de sistemes domòtics ens permet gestionar de manera més eficient la il·luminació, la climatització, l'aigua calenta sanitària, el reg i tot allò que se’ns passi pel cap."
"¿Qué función tiene el software de gestión de instalaciones respecto a la seguridad?","Sustituir a los guardias de seguridad física.","Incluir drivers para la gestión de la seguridad y detección de incendios.","Bloquear el acceso a Internet de los empleados.","Controlar el factor de potencia de las cámaras CCTV.","B","El software central debe integrar la gestión de seguridad y protección contra incendios mediante drivers específicos.","Software per a gestió d'instal·lacions: drivers per a la gestió d'instal·lacions electromecàniques, per a la detecció d'incendis, drivers per gestió de la seguretat, etc."
"¿Cuál es el objetivo de mantener las 'condiciones de diseño' en un edificio?","Asegurar que el edificio se vea estéticamente bien.","Mantener parámetros como temperatura y humedad según lo previsto en el proyecto.","Reducir el coste de construcción inicial.","Cumplir con las normas de tráfico cercanas al edificio.","B","El control operativo asegura que el sistema funcione dentro de los rangos de temperatura y humedad para los que fue diseñado.","Mantenir unes condicions de disseny. Els controladors mantenen el sistema en les condicions per les quals ha estat dissenyat (temperatura, humitat), en un espai determinat."
"¿Qué se entiende por 'sistema de comunicación abierto'?","Un sistema que no tiene contraseñas de seguridad.","Un sistema constituido por elementos compatibles con cualquier fabricante sin necesidad de gateways de traducción.","Un sistema que solo funciona a través de redes WiFi públicas.","Un sistema desarrollado exclusivamente por ASHRAE.","B","La apertura de un protocolo reside en su interoperabilidad nativa entre diferentes marcas sin intermediarios de traducción.","Un sistema de comunicació obert està constituït per elements compatibles amb qualsevol fabricant. ... No requereixen interfaces o gateways que tradueixin diferents protocols."
"¿Qué ventaja aporta la automatización de infraestructuras respecto a los fallos del sistema?","Elimina la posibilidad de cualquier fallo técnico.","Reduce las posibles fallas y aumenta la eficacia mediante la gestión centralizada.","Permite que los fallos se reparen solos sin intervención.","Aumenta el tiempo de respuesta ante una avería.","B","La centralización de la información permite una mejor monitorización, lo que previene fallos y mejora la eficacia operativa.","Automatització d'infraestructures. ... Automatitzant les instal·lacions es redueixen les possibles fallades i augmenta l'eficàcia."
"¿Qué aplicación de iBMS se encarga de los sistemas de transporte vertical?","Sistemas de seguridad.","Sistemas de transporte (ascensores, escaleras mecánicas).","Control del sistema eléctrico.","Climatización.","B","El iBMS integra la gestión de ascensores y escaleras mecánicas dentro de sus funciones de transporte.","Sistemes de transport: ascensors, escales mecàniques..."
"¿Qué significa que un sistema BMS sea 'escalable'?","Que puede instalarse en edificios con muchas escaleras.","Que puede crecer hasta cubrir todas las necesidades de gestión completa del cliente.","Que su precio aumenta proporcionalmente a la altura del edificio.","Que solo puede ser gestionado por personal con formación en escalada.","B","La escalabilidad se refiere a la capacidad del sistema para ampliarse según los requerimientos del edificio o del cliente.","És escalable fins a cobrir les necessitats del client en la gestió completa de l'edifici."
"¿Qué base de datos se menciona como ejemplo de integración con sistemas BMS?","Oracle","SQL Server","MongoDB","PostgreSQL","B","El texto menciona específicamente la integración con tecnología de Microsoft como SQL Server.","Totalment integrat amb les aplicacions Microsoft, tal com SQL Server i tecnologia."
"¿Qué permite el acceso de múltiples usuarios al sistema BMS según el texto?","El uso de llaves físicas duplicadas.","Terminales en redes o prestaciones de Web Server.","La instalación de un monitor en cada habitación.","El protocolo Modbus únicamente.","B","La tecnología Web Server facilita que varios usuarios accedan simultáneamente al sistema desde diferentes puntos.","El mateix sistema permet l'accés de múltiples usuaris a través de terminals a xarxes o utilitzant prestacions de Web Server."
"¿Cuál es la función de las válvulas y actuadores en el nivel de campo?","Medir la temperatura exterior.","Actuar sobre fan-coils, climatizadores y circuladores hidráulicos.","Generar informes de consumo energético.","Traducir protocolos de comunicación cerrados.","B","Las válvulas y actuadores son los elementos finales que ejecutan las órdenes de control en los sistemas de agua y aire.","Vàlvules i actuadors per a fan-coils i petits climatitzadors. Vàlvules i actuadors per a climatitzadors i circuladors hidràulics."
"¿Qué beneficio ambiental directo tiene la reducción del consumo de recursos energéticos?","Aumento de la huella de carbono.","Reducción de la huella de carbono y de las emisiones de gases de efecto invernadero.","Eliminación total de la necesidad de reciclaje.","Aumento de la temperatura global del edificio.","B","Menor consumo implica directamente una menor emisión de gases contaminantes y una reducción del impacto ambiental.","L'eficiència energètica rebaixa les emissions de gasos amb efecte d'hivernacle. ... contribueix a reduir la petjada de carboni."
"¿Qué componente se encarga de presentar la información de forma gráfica para el usuario?","El sensor de humedad.","El Lloc Central.","El actuador de compuerta.","El bus de datos.","B","El lugar central procesa los datos y los muestra visualmente para facilitar la interpretación humana.","Presenta la informació de forma gràfica per facilitar la interpretació als usuaris."
"En el esquema de 'Sistemes de HVAC', ¿qué elemento se encarga de la detección de errores del sistema?","Lector de energía.","Detectors d'errors sist. HVAC.","Módulo de expansión.","Controlador de persianas.","B","El diagrama técnico muestra detectores específicos para identificar fallos en el sistema de climatización.","Detectors d'errors sist. HVAC (dentro del esquema de la página 14)."
"¿Qué tipo de sondas se utilizan para medir la iluminación y la velocidad del aire?","Sondas de temperatura de inmersión.","Sondes d'altres magnituds.","Presostatos diferenciales.","Sondas de humedad de conducto.","B","El texto agrupa magnitudes como velocidad de aire, iluminación y energía bajo la categoría de 'otras magnitudes'.","Sondes d'altres magnituds: velocitat d'aire, il·luminació, energia, cabals..."
"¿Qué se requiere para integrar un sistema cerrado con otros sistemas existentes?","Simplemente conectar los cables.","Interfaces o gateways que tienen costes económicos.","Cambiar todos los sensores por unos nuevos del mismo fabricante.","No es posible la integración en ningún caso.","B","La falta de compatibilidad nativa en sistemas propietarios obliga al uso de pasarelas de comunicación costosas.","La integració amb altres sistemes que hi pugui haver en una instal·lació es realitza mitjançant interfaces o gateways. No són d'ús lliure i, per tant, la seva utilització té uns costos econòmics."
"¿Cuál es el objetivo de la eficiencia energética en las edificaciones en el día a día?","Reducir el confort para ahorrar en la factura.","Mejorar la certificación energética, el confort y ahorrar en la factura.","Eliminar el uso de aire acondicionado permanentemente.","Aumentar el valor del alquiler sin realizar inversiones.","B","La inversión en eficiencia en edificios busca un triple beneficio: mejor calificación, más confort y menor gasto.","En el dia a dia també podem invertir per millorar la certificació energètica del nostre edifici, millorant el nostre confort i estalviant a la nostra factura."
"¿Qué protocolo se describe como 'força estès a nivell industrial'?","BACnet","Modbus","KNX","LONWorks","B","Modbus es el protocolo de referencia mencionado para aplicaciones industriales y de bajo nivel.","Modbus és un protocol força estès a nivell industrial."
"¿Qué función realiza el controlador DDC con la señal numérica resultante de su estrategia de cálculo?","La envía directamente a la nube sin procesar.","La traduce normalmente a formato analógico para actuar sobre los actuadores.","La borra para liberar memoria del procesador.","La convierte en un mensaje de texto para el operario.","B","Tras el procesamiento digital, la señal debe convertirse de nuevo para poder mover físicamente los equipos de campo.","L'estratègia de càlcul produeix un senyal de sortida numèric (digital) que es torna a traduir (normalment) a format analògic i que actua sobre els actuadors."
