Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta Correcta,Explicacion,Referencia
"¿A partir de cuántas plantas es obligatorio instalar un sistema de ventilación secundaria?","Más de 5 plantas.","Más de 7 plantas.","Más de 14 plantas.","En todas las instalaciones independientemente de la altura.","B","La ventilación primaria es suficiente hasta 7 plantas; por encima de esa altura, se requiere ventilación secundaria.","Per edificis de fins a 7 plantes es considera suficient com a únic sistema de ventilació. [...] Ventilació secundària: Per edificis de més de 7 plantes."
"En edificios de 15 plantas o más, ¿cómo deben realizarse las conexiones de la ventilación secundaria al bajante principal?","En plantas alternas únicamente.","Solo en la planta baja y en la cubierta.","En todas las plantas.","Cada tres plantas para minimizar turbulencias.","C","A partir de 15 plantas, la exigencia técnica aumenta y la conexión debe ser planta por planta.","A partir de 15 plantes, les connexions a la baixant principal s’han de fer en totes les plantes."
"¿Cuándo se considera necesaria la instalación de una red de ventilación terciaria?","Cuando el edificio tiene menos de 7 plantas pero uso industrial.","Cuando la distancia entre los bajantes y el último aparato sanitario es superior a 5 metros.","Siempre que se utilicen cajas sifónicas en lugar de sifones individuales.","Cuando el sistema de evacuación es por elevación mecánica.","B","La ventilación terciaria protege los sifones alejados de los bajantes principales para evitar el auto-sifonamiento.","És necessària quan la distància entre els baixants primari i secundari i l’últim aparell sanitari és molt llarga (>5m)."
"En el reciclaje de aguas grises, ¿qué función cumple el 'Biorreactor de membranes'?","Clorar el agua para su almacenamiento prolongado.","Realizar un filtrado grueso de 1mm.","Degradar la materia orgánica y separar sólidos mediante ultra-filtración.","Bombear el agua regenerada hacia las cisternas de los WC.","C","El biorreactor combina la degradación biológica con una barrera física (membrana) para la ultrafiltración.","Biorreactor de membranes: (1) Biorreactor: en el reactor es dóna la degradació de la matèria orgànica. (2) Membrana: Barrera que permet la separació sòlida-líquida per ultra-filtració."
"¿Qué sustancias deben evitarse específicamente en el vertido a sistemas de reciclaje de aguas grises para no dañar las membranas?","Jabón de manos neutro.","Colorantes textiles y tintes de pelo.","Agua con carga orgánica inferior.","Detergentes biodegradables.","B","Ciertos productos químicos como tintes pueden colmatar o dañar irreversiblemente las membranas de ultrafiltración.","Evitar el vertit de: (1) colorants tèxtils i tints dels cabells (per evitar danyar les membranes)"
"Para el cálculo de la capacidad de captación de aguas pluvials (C), ¿qué valor se asigna al factor de escorrentía (f1) en una teulada convencional?","1.0","0.5","0.9","0.75","C","El factor de escorrentía representa la eficiencia de recogida; en tejados convencionales se estima en 0.9.","F1: factor d’escorrentia (f1: 0,9 per una teulada convencional)"
"Según el texto, ¿por qué el agua pluvial no dispone de una normativa específica aplicable a diferencia de las residuales?","Porque su volumen es imprevisible.","Porque se considera agua 'neta' (limpia).","Porque su gestión depende exclusivamente de los ayuntamientos.","Porque no puede ser reutilizada en el interior de los edificios.","B","Al no tener carga fecal ni industrial de origen, se le da un tratamiento normativo más laxo.","L’aigua pluvial, a diferència de les aigües residuals, no disposen de normativa específica aplicable, ja que es considera aigua “neta”."
"En el dimensionado de un depósito de pluviales, ¿cuáles son los dos factores limitantes?","La altura del edificio y el número de bajantes.","La capacidad de recogida y la demanda de agua para usos previstos.","El diámetro del colector municipal y la pendiente del terreno.","El tipo de filtro utilizado y la potencia de la bomba sumergida.","B","El depósito debe equilibrar lo que se puede captar con lo que se necesita consumir.","Dimensionat del dipòsit: Depèn de dos factors limitants: - Capacitat de recollida - Demanda d’aigua per aprofitar en reg, neteja d’exteriors o altres."
"¿Qué organismo es responsable de controlar los puntos de abocamiento a una 'conca pública' (río, mar)?","Servicios técnicos municipales.","Ministerio de Fomento.","Agència Catalana de l’Aigua (ACA).","Protección Civil.","C","La ACA gestiona los vertidos a medios naturales, mientras que los ayuntamientos gestionan la red municipal.","Conca pública: agència catalana de l’aigua (ACA)."
"¿Cuál es el diámetro requerido para la tubería de ventilación primaria en relación al bajante?","Debe ser un 50% menor que el bajante.","Debe tener el mismo diámetro en todo el recorrido.","Debe aumentar su diámetro al llegar a la cubierta.","Depende del número de plantas del edificio.","B","Para asegurar la correcta circulación de aire sin restricciones, se mantiene la sección del bajante.","La canonada ha de tenir el mateix diàmetre en tot el recorregut."
"En el tratamiento de aguas grises, ¿qué proceso asegura el cumplimiento de las propiedades sanitarias del efluente según el RD 1620/2007?","El desbast mediante filtro de 1mm.","La ultra-filtración por succión.","La cloración y acumulación.","La ventilación secundaria del depósito.","C","La cloración es el paso final para desinfectar y mantener la calidad del agua regenerada.","Cloració i acumulació: el permeat es clora per conservar, al llarg del temps, les propietats sanitàries de l’efluent i assegurar el compliment del RD 1620/2007."
"¿Qué elemento de recogida se recomienda para una mayor superficie de captación en terrazas?","Bunera puntual.","Sifón individual.","Reixa d’intercepció.","Arqueta ciega.","C","Las rejillas de intercepción son lineales y cubren más área que las buneras, que son elementos puntuales.","reixa d’intercepció (major superfície captació)."
"En un sistema de elevación mecánica, ¿cuál es uno de los inconvenientes mencionados frente al sistema por gravedad?","Requiere tuberías de mayor diámetro.","Mayor consumo energético y mantenimiento.","No permite la evacuación de aguas negras.","Es obligatorio en edificios de más de 7 plantas.","B","La elevación mecánica implica el uso de bombas, lo que conlleva costes operativos y de revisión que la gravedad no tiene.","Elevació mecànica: [...] Cal instal·lar pous de bombeig  obra civil, instal·lació d’equips, consum energètic i major manteniment."
"¿Qué tipo de sifón se utiliza específicamente para evitar que los olores del alcantarillado público suban por la red de pluviales?","Sifó individual.","Caixa sifònica.","Embornal sifònic.","Arqueta registrable.","C","El embornal sifónico está diseñado para captar agua de lluvia bloqueando el retorno de gases de la calle.","Embornal sifònic: per l’aigua de pluja (evitar pujada olor clavegueram del carrer)."
"Para el cálculo de la demanda de agua (D), ¿qué valor de consumo diario por persona se estima para la recarga de sanitarios (W)?","2-6 litros/día.","24-25 litros/día.","100 litros/día.","2 litros/día.","B","El texto proporciona fórmulas específicas donde W se calcula con una base de 24-25 litros por persona al día.","W: cabal recàrrega sanitaris (24-25 l/persona/dia x 365 dies x N)"
"¿Cuál es la función del 'desbast' en el sistema de reciclaje de aguas grises?","Eliminar los olores mediante carbón activo.","Filtrar partículas mayores de 1mm.","Separar las aguas grises de las negras.","Regular el pH del agua antes del biorreactor.","B","El desbast es un pretratamiento físico para eliminar sólidos gruesos que podrían obstruir el sistema.","Desbast: es realitza mitjançant un filtre d’1mm."
"En la ventilación secundaria, ¿dónde debe conectarse la parte inferior de la tubería de ventilación?","Directamente a la arqueta de la vía pública.","Al colector de la red horizontal.","Al sifón del aparato más bajo.","Debe quedar abierta en el sótano para captar aire.","B","La ventilación secundaria debe formar un circuito cerrado con la red horizontal para equilibrar presiones.","En la part inferior s’ha de connectar amb el col·lector de la xarxa horitzontal."
"¿Qué requisito deben cumplir las tuberías de agua reciclada según las ordenanzas municipales?","Deben ser de cobre para evitar bacterias.","Deben ir identificadas por un sistema de color o indicación.","Deben tener un diámetro mínimo de 200mm.","Deben estar enterradas a más de 2 metros de profundidad.","B","Para evitar conexiones cruzadas accidentales con el agua potable, se exige una identificación clara.","(*) les canonades de l’aigua reciclada han d’anar identificades per un sistema de color o indicació segons Ordenança."
"En el cálculo de riego de jardines (R) para pluviales, ¿cuántos días de sequía se consideran en la fórmula?","365 días.","100 días.","50 días.","200 días.","B","La fórmula de demanda para riego utiliza un factor de 100 días de sequía para estimar el consumo anual.","R: reg de jardins (2-6 l/m2/dia x 100 dies sequera x m2 superfície = 500 x m2 superfície)"
"¿Qué problema de sifonamiento se describe como una 'depresión que arrastra el agua de los sifones' tras una descarga?","Sifonatge per compressió.","Auto sifonatge.","Sifonatge per aspiració.","Sifonatge inducido.","C","La aspiración ocurre por el vacío (depresión) creado detrás de la masa de agua que cae por el bajante.","Sifonatge per aspiració: en produir-se una descàrrega d’aigua, el pistó hidràulic arriba al baixant i crea darrera seu una depressió que arrossega l’aigua dels sifons"
"Para evitar la contaminación por olores, ¿qué precaución debe tomarse con la salida de ventilación en cubierta?","Debe estar siempre orientada al norte.","No debe estar cerca de la toma de aire de ningún sistema de climatización.","Debe cubrirse con una rejilla de carbón activo.","Debe conectarse al pararrayos del edificio.","B","Se debe evitar que el aire viciado de la ventilación sea succionado por los sistemas de aire acondicionado del edificio.","La sortida a coberta no ha d’estar a prop de la presa d’aire de cap sistema de ventilació/climatització, per evitar contaminació per olors."
"¿Cuál es la función de las 'arquetes' en la instalación?","Filtrar las aguas grises antes de llegar al colector.","Unir colectores y bajantes, o facilitar cambios de dirección.","Almacenar agua pluvial para riego.","Acelerar el flujo mediante el efecto venturi.","B","Las arquetas son puntos de nexo y registro en la red horizontal enterrada.","Arquetes: petits pous enterrats que uneixen col·lectors, baixants i col·lectors, o que faciliten canvis de direcció."
"En la reutilización de aguas, ¿para qué uso se recomienda el agua de rechazo de tratamientos de osmotización o descalcificación?","Consumo humano directo.","Duchas y bañeras.","WC, limpieza o riego.","No se puede reutilizar debido a su alta salinidad.","C","Aunque es agua de rechazo, su calidad es suficiente para usos no potables como la descarga de inodoros.","(3) aigua de rebuig de tractaments d’osmotització/descalcificació per WC/neteja/reg"
"¿Qué tipo de ventilación se define como la 'ventilación total de sifones a través de las derivaciones'?","Ventilació primària.","Ventilació secundària.","Ventilació terciària.","Ventilació forçada.","C","La terciaria es la más completa, ya que llega hasta cada sifón individualmente.","Ventilació terciària: Ventilació total de sifons i caixes sifòniques a través de les derivacions"
"Según el esquema de reciclaje de aguas grises, ¿qué sucede si el depósito de acumulación se llena en exceso?","Se detiene el funcionamiento de las duchas.","El agua sobrante se evacua por un rebosadero (rebosadero).","Se activa automáticamente el riego de jardines.","El agua se bombea de vuelta al biorreactor.","B","Todos los depósitos de almacenamiento deben prever una salida de alivio hacia el alcantarillado.","9 Rebosadero (en el esquema de la página 36)."
"¿Cuál es el objetivo principal de la 'Guia tècnica d’aigües grises i guia de pluvials' mencionada?","Establecer las multas por vertidos ilegales.","Proporcionar recomendaciones para el reciclaje de estas aguas en edificios.","Sustituir al Código Técnico de la Edificación (CTE).","Regular el precio del agua regenerada.","B","Es un documento de apoyo técnico creado por asociaciones del sector para fomentar buenas prácticas.","Guia tècnica d’aigües grises i guia de pluvials [...] Guia Técnica de recomendaciones para el reciclaje de aguas grises en edificios"
"En el dimensionado de pluviales, ¿de qué depende el factor que se multiplica por la superficie de recogida?","Del número de habitantes del edificio.","De la intensidad pluviométrica de la zona (histórico de lluvias).","Del material de las tuberías (PVC o fundición).","De la pendiente del colector enterrado.","B","El cálculo no solo usa la media anual, sino la intensidad máxima prevista para evitar desbordamientos.","Pluvials: càlcul en funció de les superfície de recollida i un factor que depèn de la intensitat pluviomètrica de la zona (històric de pluges)."
"¿Qué elemento se encarga de extraer el agua del depósito de pluviales para su uso?","Válvula de venturi.","Bomba sumergida.","Sifón de aspiración.","Colector colgado.","B","Para dar presión al agua almacenada y llevarla a los puntos de consumo, se requiere bombeo.","Bomba submergida: S'encarrega de extreure l'aigua del dipòsit."
"En la ventilación secundaria, ¿con qué frecuencia deben hacerse las conexiones al bajante principal en edificios de entre 8 y 14 plantas?","En todas las plantas.","En plantas alternas.","Solo en la planta más alta y la más baja.","Cada 5 metros de bajante.","B","Para edificios de altura media (>7 plantas), la conexión en plantas alternas es el estándar técnico.","Ventilació secundària: [...] comunicada amb ella en plantes alternes [...] Per edificis de més de 7 plantes."
"¿Qué tipo de aguas residuales se definen como aquellas con 'carga orgánica inferior' provenientes de lavamanos y duchas?","Negres.","Grises.","Industrials.","Pluvials.","B","Las aguas grises son las más aptas para reciclaje sencillo debido a su baja carga contaminante.","Grises: carga orgànica inferior  rentamans, dutxes, neteja, etc."
"¿Cuál es la función del filtro situado antes del depósito de pluviales?","Eliminar el cloro del agua de lluvia.","Limpiar el agua de la suciedad proveniente del canalón.","Aumentar el factor de escorrentía.","Evitar el sifonamiento por compresión.","B","El filtro evita que hojas, arena o suciedad del tejado entren en el depósito de almacenamiento.","Filtre: Neteja l'aigua de la brutícia que prové del canaló."
"En el sistema de reciclaje de aguas grises, ¿qué proceso físico se utiliza para que el agua penetre a través de las membranas?","Gravedad natural.","Presión de vacío (succión).","Centrifugación.","Evaporación y condensación.","B","La ultrafiltración en estos sistemas suele ser activa, forzando el paso del agua mediante bombas de vacío.","Mitjançant un sistema de succió, s’exerceix una pressió de buit en les membranes creant un flux de fora a dins"
"¿Qué ventaja administrativa supone el reaprovechamiento de aguas residuales según el texto?","Exención total de impuestos municipales.","Mejor administración de la red de agua potable (ahorro en el ciclo del agua).","Eliminación de la necesidad de pedir permisos de abocamiento.","Reducción del diámetro de los bajantes de aguas negras.","B","Al usar agua reciclada, se reduce la demanda sobre la red de suministro público.","Faciliten una millor administració de la xarxa d’aigua potable  estalvi en el cicle de l’aigua."
"Para el cálculo de la limpieza de suelos (L) en la demanda de pluviales, ¿qué consumo se estima por persona y día?","24-25 litros.","2 litros.","10 litros.","0.5 litros.","B","La fórmula L = 730 x N deriva de un consumo diario de 2 litros por persona (2 x 365 = 730).","L: neteja de terres (2 l/persona/dia x 365 dies x N = 730 x N"
"¿Qué ocurre si se conectan derivaciones o colectores con 'sentidos de flujo enfrentados'?","Se mejora la ventilación primaria.","Se generan turbulencias que dificultan la evacuación.","Se aumenta la velocidad del agua por efecto venturi.","Es la solución ideal para sótanos.","B","El diseño debe favorecer el flujo laminar; los choques de corrientes provocan obstrucciones y ruidos.","No connectar derivacions o col·lectors amb sentits de flux enfrontats (minimitzar turbulències)."
"¿Cuál es la función de una 'caixa sifònica'?","Almacenar agua para el sistema contra incendios.","Unir derivaciones de diferentes aparatos sanitarios sin sifón individual.","Bombear aguas residuales desde el sótano.","Filtrar las grasas de las aguas industriales.","B","Es un elemento centralizador que evita tener que poner un sifón en cada aparato (lavabo, bidé, ducha).","Caixa sifònica: per unir derivacions de diferents aparells sanitaris sense sifó individual."
"En el dimensionado de la red, ¿qué normativa se cita como referencia para el cálculo según el número de aparatos?","ISO 9001.","CTE DB HS.","RD 1620/2007.","Reglamento Electrotécnico de Baja Tensión.","B","El Código Técnico de la Edificación (Documento Básico de Salubridad) es la norma marco en España.","funció del nombre d’aparells (WC, dutxes, etc.) de cada edifici  CTE DB HS"
"¿Qué tipo de depósito de pluviales se considera la 'mejor opción' según el texto?","Exteriores rígidos.","Exteriores flexibles.","Soterrats (enterrados).","Depósitos metálicos en cubierta.","C","Los depósitos enterrados mantienen mejor la temperatura y no ocupan espacio útil en superficie.","Tipus: Soterrats (millor opció)"
"En un edificio de más de 14 plantas, ¿qué sistema de ventilación se utiliza específicamente?","Solo ventilación primaria reforzada.","Ventilación terciaria.","Ventilación por inyección de nitrógeno.","No se permite la evacuación por gravedad.","B","A partir de esa altura, la complejidad de las presiones requiere ventilación en las derivaciones (terciaria).","Ventilació terciària: [...] Utilitzada en edificis de més de 14 plantes."
