Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta Correcta,Explicacion,Referencia
"Els dipòsits d'acumulació d'aigua calenta sanitària permeten:","Subministrar cabals punta importants","Disposar d'una bomba recirculadora","Reduir la potència de la central tèrmica","Totes les anteriors són certes","D","L'acumulació permet aplanar la corba de demanda (reduint potència instantània necessària) i atendre puntes de consum.","EXAMEN 01-19"
"Respecte als equips d'escalfament per a la producció d'ACS, indica la resposta correcta:","Han de ser capaços de fer pujar la temperatura com a mínim fins a 70ºC","El rendiment de la bomba de calor és el mateix sempre","L'efecte Joule és el més eficient","Cap de les anteriors","A","Els equips han de permetre fer xocs tèrmics o mantenir temperatures elevades (70ºC) per normativa anti-legionel·la.","EXAMEN 01-19"
"Respecte als sistemes de producció d'ACS per acumulació, indica la resposta correcta:","La potència es determina pel cabal punta","El bescanviador sempre és dins del dipòsit","El funcionament es controla mitjançant una sonda de temperatura a l'interior del dipòsit","Les bombes han de ser d'acer inoxidable","C","El termòstat (sonda) dins de l'acumulador és el que demana calor al generador extern o resistència.","EXAMEN 01-19"
"En un centre de transformació d'abonat:","La companyia ha de poder accedir al Centre de Lliurament","Si l'abonat compra en alta no necessita aparellatge","És obligatori transformadors d'oli","Unió equipotencial és suficient protecció","A","Normativa: La companyia distribuïdora ha de tenir accés permanent i directe al punt de lliurament d'energia.","EXAMEN 01-19"
"Quin tipus de dispositiu de protecció NO s'utilitza per fer front a sobretensions?","Parallamps","Relé tèrmic","Autovàlvules","Cap de les anteriors","B","El relé tèrmic protegeix contra sobrecàrregues (excés de corrent prolongat), no contra sobretensions (pics de voltatge).","EXAMEN 01-17"
"Els enclavaments...","Determinen els compartiments accessibles","Augmenten la seguretat","Determinen les condicions d'accés","Totes són certes","E","Els enclavaments mecànics o elèctrics asseguren que no es puguin obrir portes o accionar equips si no es donen les condicions de seguretat (ex: sense tensió).","EXAMEN 01-17"
"Respecte els transformadors secs:","Requereixen un alt manteniment","La seva instal·lació és possible en tots els locals","Necessiten mesures de protecció particulars","Desprenen productes tòxics","B","Els transformadors secs (encapsulats) són més segurs davant l'incendi i es poden instal·lar en interior d'edificis públics sense les restriccions dels d'oli.","EXAMEN 01-17"
"Assenyala quina de les següents opcions no s'utilitza pel tractament de males olors en sanejament:","Embornal sifònic","Ventilació de la xarxa","Arqueta sifònica","Totes són certes","D","Tots els elements esmentats (sifons i ventilació) tenen com a funció evitar que les males olors surtin de la xarxa cap als locals.","EXAMEN 01-17"
"Quin dels següents agents extintors és el més adequat per a focs elèctrics:","Aigua","Pols","CO2","Escuma física","C","El CO2 és un gas net, no conductor de l'electricitat i no deixa residu, ideal per a quadres elèctrics.","EXAMEN 01-17"
"Indica la falsa respecte els detectors de focs:","El detector termovelocimètric és adequat per a focs d'evolució ràpida","El detector òptic és adequat per a focs lents","Els detectors de flama són adequats per a focs d'evolució lenta","Els iònics són adequats per a focs ràpids","C","Els detectors de flama són per a focs molt ràpids i energètics (amb flama visible immediata), no per a focs lents o sense flama.","EXAMEN 01-17"
"Respecte l'aigua freda sanitària:","La captació privada garanteix el subministrament","La captació privada suposa menor cost inicial","A través de la companyia no es garanteix la potabilitat","A través de la xarxa pública el manteniment corre a càrrec de la propietat","D","En la xarxa interior (a partir de l'escomesa/comptador), el manteniment és responsabilitat del propietari de l'edifici.","EXAMEN 01-17"
"Quina és FALSA respecte el tractament d'aigua:","La cloració consisteix en un circuit obert","En la descalcificació es busca intercanvi iònic","En l'osmosi s'igualen les concentracions","Totes són certes","C","Fals. En l'osmosi inversa, es força el pas de l'aigua de la solució més concentrada a la menys concentrada (contra gradient) aplicant pressió, no s'igualen concentracions passivament.","EXAMEN 01-17"
"Assenyala la FALSA respecte els sistemes de producció d'aigua calenta sanitària:","Els purgadors s'utilitzen per eliminar bombolles","L'intercanviador tubular presenta major rendiment que el de plaques","La bomba d'acceleració subministra cabal","Totes són certes","B","Els intercanviadors de plaques solen ser més compactes i tenir millor coeficient de transferència (rendiment) que els tubulars tradicionals per a aplicacions d'ACS.","EXAMEN 01-17"
"Una instal·lació elèctrica disposa de condensadors per a motors:","És recomanable la connexió simultània per limitar corrent d'arrencada","És recomanable enclavament","La desconnexió s'ha de fer simultàniament a la del motor","La connexió limita el consum de reactiva","A","Connectar condensadors juntament amb el motor ajuda a compensar la reactiva des del mateix moment de l'arrencada.","EXAMEN 06-16"
"En un centre de transformació MT/BT:","Els circuits de MT i BT no estan connectats elèctricament","Si la impedància de terra és baixa les corrents augmenten","La xarxa equipotencial no ha de ser superior al CT","Proteccions no tallen subministrament","A","Gràcies al transformador, hi ha aïllament galvànic entre el primari (MT) i el secundari (BT); només hi ha acoblament magnètic.","EXAMEN 06-16"
"Respecte als elements d'una instal·lació de sanejament, assenyala la FALSA:","Exemples de punts de recollida són buneres","Les derivacions uneixen el punt de recollida amb el baixant","Els col·lectors faciliten canvis de direcció","Les arquetes poden ser enregistrables","C","Els canvis de direcció es fan habitualment en arquetes (registres), no simplement amb el tub col·lector per si sol sense accés.","EXAMEN 01-16"
"Respecte els sifons, assenyala el que no existeix:","Sifó de lavabo","Embornal sifònic","Col·lector sifònic","Arqueta sifònica","C","No és un element estàndard anomenar 'col·lector sifònic' a un tram de tub; el sifó és un element puntual (arqueta, embornal, botella).","EXAMEN 01-16"
"Respecte l'SF6, assenyala la FALSA:","És 5 vegades més dens que l'aire","En estat pur és incolor, inodor, no tòxic i inflamable","A altes temperatures es descompon","La seva rigidesa dielèctrica disminueix amb la pressió","B","L'SF6 pur NO és inflamable (és inert). A més, la rigidesa dielèctrica augmenta amb la pressió, no disminueix. (La resposta B conté l'error de dir que és inflamable, però D diu que disminueix rigidesa, que també és fals. Solució tipus: B sol ser la marcada com a falsa per 'inflamable').","EXAMEN 01-16"
