numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
38,"Un sector de incendios es aquella superficie construida que está delimitada por elementos resistentes al fuego para que, en caso de incendio, éste quede confinado en su interior y no trascienda a áreas colindantes o adyacentes, o que afecte al resto del edificio",multiple,,Vertader,Definición correcta de sector de incendio.
39,"El establecimiento industrial tipo C es el que ocupa totalmente un edificio que está adosado a otro/s edificio/s, ya sean éstos de uso industrial o bien de otros usos.",multiple,,Fals,Tipo C es en edificio aislado (>3m). Si está adosado es Tipo B.
40,La Compartimentacion y Sectorizaciónes son algunos de los medios y las condiciones integradas en el diseño del edificio y en su construcción que constituyen la protección pasiva,multiple,,Vertader,"Correcto, forman parte de la arquitectura y construcción (Pasiva)."
41,"Al comportamiento por el cual, durante un tiempo determinado, un material no deja pasar las llamas le denominamos aislamiento (I)",multiple,,Fals,Aislamiento es 'I'. Integridad (paso de llamas) es 'E'.
42,"A la condición por la que el material, sometido a elevadas temperaturas durante un tiempo, conserva sus propiedades soportando las cargas le llamamos Capacidad portante (R).",multiple,,Vertader,Capacidad portante es 'R' (Resistencia mecánica).
43,"La propiedad que llamamos Aislamiento (I) hace referencia a resistencia térmica para impedir que se produzcan en la cara no expuesta temperaturas superiores a las que se establecen, según norma, para que no sea posible la transmisión del calor de un combustible a otro por conducción o contacto.",multiple,,Vertader,"Correcto, 'I' impide la transmisión de calor a la cara no expuesta."
44,"De acuerdo con el Real Decreto 2267/2004, de los valores de carga térmica ponderada y corregida (Qs), se deducen ocho niveles de riesgo intrinseco.",multiple,,Vertader,"Nivel de Riesgo Intrínseco: Bajo (1,2), Medio (3,4,5), Alto (6,7,8)."
45,"Para los establecimientos industriales, el Real Decreto 2267/2004 establece las superficies máximas admisibles para los sectores de incendios según su configuración y riesgo intrinseco.",multiple,,Vertader,Las tablas del RSCIEI limitan la superficie máx. del sector según Tipología y Riesgo.
46,La máxima superficie admisible de un sectores de incendios en un establecimiento con una configuración Tipo B y un riesgo intrinseco nivel 5 es de 4000 m2,multiple,,Fals,"Mirar tabla RSCIEI. Para Tipo B Riesgo Medio suelo ser menor, o depende de si hay rociadores."
47,"Podemos definir al fuego como un proceso de combustión caracterizado por una reacción química de oxidación (desde el punto de vista del combustible) de suficiente intensidad para emitir luz y calor y en muchos casos, llama",multiple,,Vertader,Definición estándar de fuego.
48,"El triángulo del fuego representa los elementos necesarios para que se produzca la combustión y lo componen: el combustible, el comburente y la reacción en cadena",multiple,,Fals,Falta la Energía de Activación. La Reacción en Cadena es del Tetraedro.
49,Si eliminamos de la combustión cualquiera de los lados del triángulo el fuego se apagará.,multiple,,Vertader,"Si falta uno, no hay fuego (Triángulo)."
50,La energía de activación es el factor que permite que progrese y se mantenga la reacción una vez se ha iniciado ésta.,multiple,,Fals,La energía de activación inicia. La reacción en cadena mantiene.
51,"Se denomina comburente a cualquier sustancia capaz de arder. Dicha sustancia puede presentarse en estado sólido, líquido o gaseoso",multiple,,Fals,Comburente es el que oxida (oxígeno). Combustible es el que arde.
52,El combustible (normalmente el oxígeno del aire) es el componente oxidante de la reacción .,multiple,,Fals,"Al revés. Combustible arde, Comburente oxida."
53,"El principio básico del tetraedro del fuego es el mismo que el del triángulo del fuego, todos los lados del tetraedro son necesarios para que la combustión se mantenga ya que si eliminamos cualquiera de los lados el fuego se apaga.",multiple,,Vertader,Tetraedro es para explicar la llama y la continuidad.
54,"Los fuegos Clase A son fuegos de combustibles sólidos que retienen oxígeno en su interior formando brasas. Son los llamados fuegos “secos”. Madera, papel, tejidos, carbón, etc.",multiple,,Vertader,Clase A: Sólidos (brasas).
55,"Los fuegos Clase B son fuegos de combustibles líquidos y sólidos licuables (Asfaltos, Ceras, Parafinas, Grasas, Alcohol, Gasolina). Sólo arde la parte de su superficie que esté en contacto con el oxígeno del aire.",multiple,,Vertader,Clase B: Líquidos.
56,"Agente Extintor, es aquel producto químico, que aplicado al incendio, es capaz de extinguirlo, actuando sobre alguno o varios de los componentes del Tetraedro del Fuego.",multiple,,Vertader,Químico que actúa sobre el fuego.
57,La dilución es un método de extinción del fuego y se consigue disminuyendo la concentración de combustible con el objeto de impedir que se aporte en cantidad suficiente para mantener la combustión.,multiple,,Vertader,Dilución o Desalimentación disminuye el combustible. O dilución de mezcla de gases.
58,El fuego se extingue por inhibición si se consigue extinguir el fuego por la no continuidad de la reacción en cadena.,multiple,,Vertader,Inhibición ataca la reacción en cadena (radicales libres).
59,Punto o temperatura de inflamación corresponde a la mínima temperatura a la cual se ha de calentar una sustancia para qué se inflame por si misma sin necesidad de llama.,multiple,,Fals,Eso es Autoignición. Inflamación requiere llama externa (flash point).
60,Punto de ignición o temperatura de encendido (flash point) corresponde a la mínima temperatura a presión atmosférica a la cual se debe calentar una sustancia para qué haya vapores suficientes para estos se enciendan con una llama sin que la sustancia entre en,multiple,,Vertader,Definición de punto de inflamación vs ignición.
61,La distribución en planta tiene por objetivo reducir el movimiento de materiales y productos.,multiple,,Vertader,Minimizar transporte es un objetivo clave del Layout.
62,La distribución en planta tiene por objetivo evitar interferencias entre los desplazamientos,multiple,,Vertader,Flujos limpios y seguros.
63,El objetivo del muelle de carga es ajustar las diferencias de altura entre los almacenes y el nivel de la caja de carga del vehículo,multiple,,Vertader,Facilita la carga/descarga.
64,"El Plano de implantación de maquinaria Incluye todo aquello relacionado con el proceso productivo, como zonas de carga y descarga, almacenes, zonas de maquinaria auxiliar, control de calidad, etc.",multiple,,Fals,Implantación Proceso incluye zonas auxiliares. Maquinaria es más específico.
65,"El Plano de implantación del proceso productivo define la totalidad de la actividad, incluyendo vestuarios, oficinas, zona comercial, etc",multiple,,Fals,Distribución en Planta es el plano general. Implantación proceso es más de la zona fabril.
66,La distribución en planta tiene por objetivo favorecer las interacciones eficientes con el exterior de la actividad.,multiple,,Vertader,"Accesos, carga/descarga, conexión con viales."
67,Implantar todas las máquinas del sistema productivo con sus espacios en un plano permite evitar espacios muertos e identificar espacios improductivos destinados a futuras ampliaciones,multiple,,Vertader,Optimización del espacio.
68,La distribución en planta tiene por objetivo reducir el movimiento de las personas.,multiple,,Vertader,"Seguridad y ergonomía, menos desplazamientos innecesarios."
69,En el Real Decreto 486/1997 se establecen las disposiciones mínimas de seguridad y salud en los lugares de trabajo.,multiple,,Vertader,Normativa básica de seguridad laboral.
70,De acuerdo con el Real Decreto 486/1997 los lugares de trabajo dispondrán de vestuarios cuando los trabajadores deban llevar ropa especial de trabajo. Los vestuarios estarán provistos de asientos y de armarios o taquillas individuales,multiple,,Vertader,Obligatorio vestuarios si hay ropa especial.
71,"De acuerdo con el Real Decreto 486/1997 cuando los vestuarios no sean necesarios, los trabajadores deberán disponer de colgadores o armarios para colocar su ropa",multiple,,Vertader,"Si no hay ropa especial, basta con colgadores."
72,Las dimensiones de los locales de trabajo deberán permitir que los trabajadores realicen su trabajo sin riesgos para su seguridad y salud y en condiciones ergonómicas aceptables. Entre sus dimensiones mínimas cabe destacar los: 2 metros de altura desde el piso,multiple,,Fals,"Altura mínima suele ser 2,5m o 3m. 2m es muy poco."
73,"Las dimensiones de los locales de trabajo deberán permitir que los trabajadores realicen su trabajo sin riesgos para su seguridad y salud y en condiciones ergonómicas aceptables. Entre sus dimensiones mínimas cabe destacar los: 10 metros cuadrados, no ocupados, por trabajador",multiple,,Fals,Son 2m2 superficie libre por trabajador y 10m3 volumen.
74,"El Plano de distribución en planta define la totalidad de la actividad, incluyendo vestuarios, oficinas, zona comercial, etc",multiple,,Vertader,Plano general de toda la actividad.
75,"En el plano de parcela se dibujar la parcela y sus accesos pero no las zonas de aparcamiento, zona verde, instalaciones, zonas de carga, etc.",multiple,,Fals,El plano de parcela debe incluir todo lo que hay en ella.
76,El plano de parcela debe Incluir la tabla de parámetros urbanísticos y su justificación,multiple,,Vertader,Justificación urbanística es necesaria.
77,El Diagrama de actividades...,multiple,,,No hay pregunta. Se asume falsa/vacía.
78,"En el Diagrama de Flujo debemos identificar los transportes, indicando de qué tipo de transporte se trata (i.e. Transporte con traspale, manual, toro mecánico,...)",multiple,,Fals,El transporte se define mejor en el Diagrama de Flujo o Recorrido.
79,"En el Diagrama de Maquinaria debemos identificar los transportes, indicando de qué tipo de transporte se trata (i.e. Transporte con traspale, manual, toro mecánico,...)",multiple,,Vertader,Maquinaria se centra en las máquinas. El transporte es flujo.
80,"En el Diagrama de Maquinaria debemos identificar la maquinaria requerida para cada bloque y su capacidad máxima, pero no la capacidad máxima de los almacenes",multiple,,Fals,Almacenes también tienen capacidad.
81,"En el Diagrama de Actividades, las unidades de inputs i outputs se ponen unidad de trabajo/hora",multiple,,Fals,"Unidades físicas por tiempo (kg/h, u/h)."
82,La potencia instalada es la suma de las potencias nominales multiplicada por el coeficiente de simultaneidad.,multiple,,Fals,Potencia Instalada es la suma total. La de contratación/diseño aplica simultaneidad.
83,El espacio necesario para el funcionamiento de la máquina i que puede ser compartido con otros espacios compartidos de otras máquinas es el espacio compartido,multiple,,Vertader,Espacio compartido (ej. pasillo entre máquinas).
84,El espacio para el mantenimiento de las máquinas es un espacio de uso exclusivo,multiple,,Fals,"Mantenimiento requiere acceso, puede solaparse con pasillos pero debe estar previsto."
85,El Diagrama de actividades... Trieu-ne una o més:,multiple,,,Pregunta vacía.
86,Las dimensiones de los locales de trabajo deberán permitir que los trabajadores realicen su trabajo sin riesgos para su seguridad y salud y en condiciones ergonómicas aceptables. Sus dimensiones mínimas serán las siguientes:,multiple,,Fals,"Faltan los valores correctos (2.5m altura, 2m2 sup libre)."
87,El espacio propio es el espacio no propio que necesita la máquina para su funcionamiento y que solo está destinado al uso de ella misma.,multiple,,Fals,Espacio propio es el volumen físico de la máquina. Lo descrito parece 'espacio de evolución' o similar.
88,Las dimensiones de los locales de trabajo deberán permitir que los trabajadores realicen su trabajo sin riesgos para su seguridad y salud y en condiciones ergonómicas aceptables. Entre sus dimensiones mínimas cabe destacar los: 2 metros,multiple,,Fals,Misma que la 72.
89,Punto de ignición o temperatura de encendido corresponde a la mínima temperatura a presión atmosférica a la cual se debe calentar una sustancia para qué haya vapores suficientes para estos se enciendan con una llama sin que la,multiple,,Vertader,Definición de punto de inflamación/ignición repetida.
90,"La Protección activa contra incendios desempeña un papel curativo y representa todos los sistemas de detección y extinción de incendios, por lo tanto, está destinada a advertir a los usuarios de un incendio y actuar sobre él a través de",multiple,,Vertader,Definición correcta Activa.
91,La Protección pasiva contra incendios juega un papel preventivo. Representa todas las medidas constructivas que permiten que una estructura resista un incendio durante un tiempo determinado (fijado por las normas relativas al tipo,multiple,,Vertader,Definición correcta Pasiva.
92,La norma UNE 13943:2018 define la combustión como una reacción química endotérmica.,multiple,,Fals,Se define como una reacción química exotérmica (desprende calor) de oxidación-reducción.
93,"Los tres elementos del triángulo del fuego son Combustible, Comburente y Nitrógeno.",multiple,,Fals,"Los elementos son Combustible, Comburente y Energía de Activación (calor)."
94,El tetraedro del fuego añade la 'Reacción en cadena' para explicar por qué se mantiene y progresa el fuego.,multiple,,Vertader,"El cuarto elemento, la reacción en cadena, explica el mantenimiento del fuego más allá de la ignición inicial."
95,El punto de inflamación es la temperatura mínima para que la mezcla arda y se mantenga sin la fuente de ignición.,multiple,,Fals,Ese es el punto de ignición. El punto de inflamación solo permite que arda brevemente mientras está la fuente.
96,"Por debajo del Límite Inferior de Inflamabilidad (LII), la mezcla es demasiado rica en combustible para arder.",multiple,,Fals,"Por debajo del LII, la mezcla es demasiado pobre en combustible."
97,El método de extinción por enfriamiento consiste en eliminar el comburente.,multiple,,Fals,El enfriamiento consiste en eliminar la energía (calor). La eliminación del comburente es la sofocación.
98,La protección activa contra incendios tiene un papel principalmente preventivo.,multiple,,Fals,La protección activa desempeña un papel curativo (detección y extinción). La preventiva es la pasiva.
99,La protección pasiva tiene como objetivo permitir la evacuación y confinar el fuego.,multiple,,Vertader,Busca resistir el incendio un tiempo determinado para facilitar la evacuación y evitar la propagación.
100,Una función primaria de la estructura es aislar térmicamente el edificio de forma directa.,multiple,,Fals,La estructura lo hace de forma indirecta al sustentar fachadas y cubiertas.
101,"En las estructuras industriales, el factor económico suele ser el más determinante.",multiple,,Vertader,Minimizar costes y plazos suele ser la prioridad en la industria.
102,Las estructuras de hormigón requieren siempre pintura ignífuga para alcanzar alta resistencia al fuego.,multiple,,Fals,No requieren pintura si cuentan con los recubrimientos de hormigón adecuados.
103,El acero permite montajes rápidos pero requiere mantenimiento y protección contra el fuego.,multiple,,Vertader,"Es ligero y rápido, pero vulnerable a la corrosión y al fuego."
104,Los forjados unidireccionales transmiten las cargas en dos direcciones.,multiple,,Fals,Transmiten cargas en una sola dirección hacia las vigas.
105,Las placas alveolares son adecuadas para grandes luces y sobrecargas.,multiple,,Vertader,Se usan habitualmente en aparcamientos y almacenes por su alta capacidad.
106,El forjado de chapa colaborante destaca por su excelente comportamiento térmico y ante el fuego.,multiple,,Fals,"Tiene mal comportamiento térmico, acústico y frente al fuego."
107,La teoría de Von Thünen (1826) basa la localización en la distancia al núcleo central (mercado).,multiple,,Vertader,"Modelo de anillos concéntricos alrededor de la ciudad, basado en costes de transporte y caducidad."
108,El modelo de Weber (1929) busca maximizar los ingresos por ventas.,multiple,,Fals,Busca la minimización de los costes de transporte (recursos vs mercado).
109,Harold Hotelling (1929) propuso la teoría de la competencia lineal.,multiple,,Vertader,Explica la localización de competidores en un espacio lineal (ej. vendedores en una playa).
110,Los parámetros de localización de ámbito general se refieren a la ubicación dentro de una ciudad.,multiple,,Fals,Se refieren a provincia o región. Los de ámbito particular se refieren al lugar en la ciudad.
111,La disponibilidad de mano de obra es un parámetro humano de localización.,multiple,,Vertader,Es un factor clave junto con el coste laboral y la conflictividad.
112,Un polígono industrial es un sector urbanizado con servicios para actividades industriales.,multiple,,Vertader,Facilita el crecimiento industrial y minimiza el impacto ambiental.
113,Las infraestructuras de un polígono incluyen solo agua y electricidad.,multiple,,Fals,"Incluyen viarios, alcantarillado, gas, comunicaciones, etc."
114,La gestión de los polígonos industriales no es relevante para su éxito.,multiple,,Fals,"La gestión (mantenimiento, seguridad, servicios) es clave para la competitividad."
115,Los polígonos industriales buscan aislar completamente la industria de las ciudades.,multiple,,Fals,"Buscan ordenarla, pero a menudo están conectados o integrados en áreas metropolitanas."
116,Los 'minipolígonos' son una tipología de polígono industrial.,multiple,,Vertader,Existen diversas tipologías según tamaño y ubicación.
117,El Diagrama de Definición de la Actividad se considera una 'caja negra'.,multiple,,Vertader,Define inputs y outputs globales sin entrar en el detalle del proceso.
118,"En el Diagrama de Actividades, los suministros se sitúan en la parte inferior.",multiple,,Fals,Los suministros van arriba. Abajo van los residuos y emisiones.
119,Las Materias Auxiliares forman parte del producto final obtenido.,multiple,,Fals,Intervienen en el proceso (ej. aceite máquinas) pero no forman parte del producto final.
120,El Diagrama de Flujo define cuantitativamente el proceso productivo.,multiple,,Vertader,Aplica cantidades a los flujos definidos en el diagrama de bloques.
121,El Diagrama de Maquinaria aplica la maquinaria requerida a cada bloque o proceso.,multiple,,Vertader,"Identifica capacidad máxima, producción y consumos de cada máquina."
122,Los residuos municipales nunca pueden proceder de una actividad industrial.,multiple,,Fals,"Pueden proceder de oficinas, comedores, etc. dentro de la industria (asimilables a domésticos)."
123,El código CER para residuos municipales es 20.03.01.,multiple,,Vertader,Es el código del catálogo europeo para residuos mezclados municipales.
124,El Diagrama de Bloques define la ubicación física de las máquinas.,multiple,,Fals,"Define la secuencia del proceso, no la ubicación física (eso es el Layout)."
125,La unidad de trabajo puede expresarse en 'unidades/año' o 'unidades/hora'.,multiple,,Vertader,Son formas estándar de definir cuantitativamente los inputs y outputs.
126,Los residuos industriales deben ser gestionados por una empresa acreditada.,multiple,,Vertader,No pueden tirarse a la basura municipal convencional si no son asimilables.
127,El objetivo de las fichas de máquinas es cumplir con el RD 486/1997 de Seguridad y Salud.,multiple,,Vertader,Establece las condiciones mínimas de seguridad y salud en los lugares de trabajo.
128,En los croquis de las fichas se debe utilizar el sistema americano (Planta y Alzado).,multiple,,Fals,Se debe utilizar el sistema europeo: Alzado y Planta.
129,Las cotas en los planos de fichas deben estar en milímetros sin decimales.,multiple,,Fals,Deben estar en metros con dos decimales (según CTE).
130,La potencia eléctrica a indicar en la ficha es solo la potencia nominal.,multiple,,Fals,Puede ser necesario indicar la potencia absorbida o de conexión.
131,"Se deben acotar los espacios de uso propio, exclusivo y compartido.",multiple,,Vertader,Es necesario para el correcto diseño del layout y seguridad.
132,La ficha de máquina contiene información textual y gráfica.,multiple,,Vertader,Incluye características técnicas y croquis de implantación.
133,No es necesario posicionar las entradas de suministros en el croquis de la máquina.,multiple,,Fals,Es vital para prever las instalaciones de conexión.
134,El objetivo de la distribución en planta es ordenar racionalmente los elementos productivos.,multiple,,Vertader,"Busca eficiencia, minimizar distancias y seguridad."
135,La 'disposición por producto' agrupa máquinas similares en departamentos.,multiple,,Fals,Esa es la 'disposición por proceso'. La 'por producto' sigue la secuencia de fabricación (cadena).
136,La distribución por producto es muy flexible ante cambios de diseño.,multiple,,Fals,"Es rígida; si cambia el producto, hay que cambiar toda la línea."
137,La célula de tecnología busca combinar la eficiencia de la línea con la flexibilidad del proceso.,multiple,,Vertader,Agrupa familias de piezas con procesos similares.
138,Uno de los objetivos del layout es utilizar eficientemente el espacio cúbico (vertical).,multiple,,Vertader,"No solo la superficie en planta, también la altura."
139,El Plano de Implantación define la ubicación exacta de la maquinaria.,multiple,,Vertader,Verifica el aprovechamiento de la nave y define espacios.
140,La distribución por proceso es adecuada para grandes volúmenes de un producto estandarizado.,multiple,,Fals,Es adecuada para bajos volúmenes y alta variedad (lotes pequeños).
141,El Systematic Layout Planning (SLP) es una metodología para diseñar distribuciones.,multiple,,Vertader,Es un método estándar para resolver problemas de layout.
142,"En igualdad de condiciones, es mejor la distribución que maximiza la distancia recorrida.",multiple,,Fals,Se busca minimizar la distancia recorrida por materiales y personas.
143,Un layout deficiente puede incrementar los costes de producción.,multiple,,Vertader,"Debido a transportes innecesarios, tiempos muertos y mayor mano de obra."
144,Los suelos granulares tienen un porcentaje de finos inferior al 35%.,multiple,,Vertader,"Si tienen menos del 35% de limos/arcillas, dominan las propiedades granulares."
145,Las rocas sedimentarias se forman por la solidificación del magma.,multiple,,Fals,Esas son las rocas ígneas. Las sedimentarias se forman por deposición.
146,El estudio geotécnico determina las propiedades del suelo y el nivel freático.,multiple,,Vertader,Es esencial para diseñar la cimentación.
147,La cimentación forma parte del sistema resistent del edificio.,multiple,,Vertader,Transmite las cargas de la estructura al terreno.
148,Los muros de contención no se consideran parte de la cimentación o contacto con terreno.,multiple,,Fals,Son elementos de contacto con el terreno y contención de tierras.
149,La meteorización física es un proceso de formación de suelos.,multiple,,Vertader,Desintegra la roca madre en partículas más pequeñas.
150,La reacción de oxidación del hierro es una combustión rápida con llama.,multiple,,Fals,"Es una oxidación lenta, sin emisión de luz considerable."
151,El comburente más común es el nitrógeno del aire.,multiple,,Fals,Es el oxígeno (21% del aire).
152,"Por debajo del 15% de oxígeno, generalmente el fuego se apaga.",multiple,,Vertader,El fuego necesita una proporción mínima de oxígeno para mantenerse.
153,La inhibición consiste en eliminar los radicales libres de la reacción en cadena.,multiple,,Vertader,"Es el mecanismo de extinción química (ej. polvos, halones)."
154,La sofocación elimina el calor del fuego.,multiple,,Fals,La sofocación elimina o desplaza el comburente (oxígeno).
155,El rango entre el Límite Inferior (LII) y Superior (LSI) es el rango de inflamabilidad.,multiple,,Vertader,Solo dentro de este rango la mezcla aire-combustible puede arder.
156,Los sólidos entran en combustión directamente en estado sólido.,multiple,,Fals,Deben gasificar primero (pirólisis) para que ardan los gases.
157,La electricidad estática puede ser una fuente de ignición.,multiple,,Vertader,Puede generar chispas suficientes para iniciar la combustión.
158,La protección pasiva incluye rociadores y extintores.,multiple,,Fals,"Esos son protección activa. La pasiva son elementos constructivos (muros, puertas)."
159,El RD 2267/2004 aplica a establecimientos industriales.,multiple,,Vertader,Es el Reglamento de Seguridad contra Incendios en Establecimientos Industriales (RSCIEI).
