numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
81,El par motor se mide en...,multiple,Newton metro (Nm)|Julios|Watios|Pascales,Newton metro (Nm),Fuerza x Distancia.
82,La potencia es el producto de...,multiple,Par motor x Velocidad angular|Presión x Volumen|Fuerza x Masa|Voltaje x Resistencia,Par motor x Velocidad angular,P = T * omega.
83,El ciclo Stirling es regenerativo.,multiple,,Vertader,Usa regenerador.
84,El ciclo Ericsson es regenerativo.,multiple,,Vertader,Usa regenerador.
85,El rendimiento térmico se define como Trabajo Neto / Calor Absorbido.,multiple,,Vertader,Eficiencia fundamental.
86,Una máquina frigorífica consume trabajo para mover calor del foco frío al caliente.,multiple,,Vertader,Ciclo inverso.
87,El COP (Coeficiente de desempeño) de una bomba de calor puede ser mayor que 1.,multiple,,Vertader,Suele ser 3 o 4.
88,El ciclo Diesel tiene mayor rendimiento teórico que el Otto a misma relación de compresión.,multiple,,Fals,"Otto es superior a misma r_c, pero Diesel permite r_c más altas en la práctica."
89,La relación de compresión de un gasolina suele ser 10:1.,multiple,,Vertader,8:1 a 12:1 típico.
90,La relación de compresión de un diésel suele ser 20:1.,multiple,,Vertader,16:1 a 24:1 típico.
91,La mariposa de admisión regula la carga en los motores Diesel.,multiple,,Fals,Regulan por cantidad de inyección (calidad). Otto regula por mariposa (cantidad).
92,Los motores Diesel trabajan siempre con exceso de aire.,multiple,,Vertader,Mezcla pobre.
93,El turbocompresor aprovecha la energía de los gases de escape.,multiple,,Vertader,Mueve una turbina.
94,El compresor volumétrico (Roots) es arrastrado por el cigüeñal.,multiple,,Vertader,Roba potencia mecánica pero da respuesta instantánea.
95,El ciclo de Rankine con recalentamiento mejora el título de vapor a la salida de turbina.,multiple,,Vertader,Menos humedad.
96,La purga de caldera sirve para eliminar sales concentradas.,multiple,,Vertader,Evita incrustaciones.
97,El economizador precalienta el agua de alimentación con humos de escape.,multiple,,Vertader,Ahorra combustible.
98,El precalentador de aire calienta el aire de combustión.,multiple,,Vertader,Mejora combustión.
99,"La turbina Pelton es una turbina hidráulica, no térmica.",multiple,,Vertader,De acción para agua.
100,La turbina Francis es hidráulica.,multiple,,Vertader,De reacción.
101,La turbina Kaplan es hidráulica.,multiple,,Vertader,Hélice variable.
102,"El ciclo ligeno (trigeneración) produce electricidad, calor y frío.",multiple,,Vertader,Eficiencia total alta.
103,La torre de refrigeración enfría agua evaporando una parte de ella.,multiple,,Vertader,Calor latente.
104,El ciclo combinado une un ciclo Brayton (gas) y uno Rankine (vapor).,multiple,,Vertader,Eficiencia > 60%.
105,"En un ciclo combinado, los gases de escape de la turbina de gas calientan la caldera de recuperación (HRSG).",multiple,,Vertader,Fuente de calor para el vapor.
106,El PCI (Poder Calorífico Inferior) no cuenta el calor latente del agua formada.,multiple,,Vertader,El agua sale como vapor.
107,El PCS (Superior) cuenta el calor de condensación del agua.,multiple,,Vertader,Debe condensar el agua.
108,El GLP es Gas Licuado del Petróleo (Butano/Propano).,multiple,,Vertader,Combustible alternativo.
109,El GNC es Gas Natural Comprimido (Metano).,multiple,,Vertader,Combustible alternativo.
110,El Biodiésel se obtiene de aceites vegetales.,multiple,,Vertader,Transesterificación.
111,El Bioetanol se obtiene de fermentación de azúcares.,multiple,,Vertader,Sustituto gasolina.
112,La viscosidad del aceite disminuye al aumentar la temperatura.,multiple,,Vertader,Se vuelve más fluido.
113,El SAE indica la viscosidad del aceite.,multiple,,Vertader,Society of Automotive Engineers.
114,Un aceite 10W40 es multigrado.,multiple,,Vertader,Comportamiento en frío (10W) y caliente (40).
115,El sistema Common Rail es de inyección directa a alta presión.,multiple,,Vertader,Diésel moderno.
116,El inyector-bomba une la generación de presión y la inyección.,multiple,,Vertader,Unit Injector.
117,El encendido electrónico elimina los platinos (ruptor).,multiple,,Vertader,Más fiable.
118,La bobina de encendido es un transformador de alta tensión.,multiple,,Vertader,Pasa 12V a 20.000V.
119,El orden de encendido típico en 4 cilindros es 1-3-4-2.,multiple,,Vertader,Equilibrado.
120,El volante de inercia regulariza el giro del motor.,multiple,,Vertader,Almacena energía cinética.
121,El cigüeñal transforma movimiento lineal en rotativo.,multiple,,Vertader,Mecanismo biela-manivela.
122,La biela une el pistón con el cigüeñal.,multiple,,Vertader,Transmite fuerza.
123,El segmento de fuego es el más cercano a la culata.,multiple,,Vertader,Sella la compresión.
124,El segmento rascador controla el aceite.,multiple,,Vertader,Devuelve aceite al cárter.
125,La culata cierra los cilindros por arriba.,multiple,,Vertader,Aloja válvulas y bujías.
126,El bloque motor aloja los cilindros y el cigüeñal.,multiple,,Vertader,Estructura principal.
127,La distribución OHV tiene válvulas en culata y árbol en bloque.,multiple,,Vertader,Varillas y balancines.
128,La distribución OHC tiene el árbol de levas en culata.,multiple,,Vertader,Over Head Camshaft.
129,DOHC significa doble árbol de levas en cabeza.,multiple,,Vertader,Admisión y Escape separados.
130,La correa de distribución debe cambiarse periódicamente.,multiple,,Vertader,"Si rompe, avería grave."
131,La cadena de distribución suele durar la vida del motor.,multiple,,Vertader,Más robusta.
132,El VVT es la distribución variable.,multiple,,Vertader,Variable Valve Timing.
133,El VVT mejora el par en bajos y la potencia en altos.,multiple,,Vertader,Optimiza diagrama.
134,La energía solar fotovoltaica produce electricidad directamente.,multiple,,Vertader,Semiconductores.
135,La energía solar térmica calienta un fluido.,multiple,,Vertader,Colectores.
136,La energía eólica mueve aerogeneradores.,multiple,,Vertader,Viento.
137,La biomasa es neutra en CO2 teórico.,multiple,,Vertader,El carbono vino de la atmósfera.
138,"El hidrógeno es un vector energético, no una fuente primaria.",multiple,,Vertader,Hay que producirlo.
139,La electrólisis separa el agua en H2 y O2.,multiple,,Vertader,Consume electricidad.
140,El reformado de gas natural produce hidrógeno.,multiple,,Vertader,Steam Reforming (más común).
141,El almacenamiento de hidrógeno es un reto tecnológico.,multiple,,Vertader,Alta presión o criogénico.
142,La pila SOFC trabaja a alta temperatura (800-1000°C).,multiple,,Vertader,Óxido Sólido.
143,La pila AFC se usó en el programa Apolo.,multiple,,Vertader,Alcalina.
144,El motor Stirling es silencioso.,multiple,,Vertader,Sin explosiones.
145,El motor Stirling tarda en arrancar (o calentar).,multiple,,Vertader,Inercia térmica.
146,La turbina de gas arranca rápido.,multiple,,Fals,"Suele requerir secuencia compleja, aunque más rápido que vapor."
147,La turbina de vapor tiene gran inercia térmica.,multiple,,Vertader,Arranque lento.
148,El rendimiento de la turbina de gas baja con el calor ambiente.,multiple,,Vertader,Aire menos denso.
149,La altitud afecta al rendimiento de los motores de aviación.,multiple,,Vertader,Menos densidad aire.
150,La postcombustión aumenta el empuje temporalmente.,multiple,,Vertader,Inyecta fuel en tobera (Cazas).
151,La postcombustión consume mucho combustible.,multiple,,Vertader,Muy ineficiente.
152,El estatorreactor (Ramjet) no tiene compresor rotativo.,multiple,,Vertader,Usa la velocidad del aire.
153,El pulsorreactor funciona con explosiones pulsantes.,multiple,,Vertader,V1 alemana.
154,El cohete de combustible líquido permite controlar el empuje.,multiple,,Vertader,Válvulas graduables.
155,El cohete de combustible sólido no se puede apagar una vez encendido.,multiple,,Vertader,Se quema hasta el fin.
156,El impulso específico (Isp) mide la eficiencia del cohete.,multiple,,Vertader,Segundos.
157,El motor iónico tiene muy bajo empuje pero muy alto Isp.,multiple,,Vertader,Para espacio profundo.
158,La velocidad de escape de la Tierra es 11.2 km/s.,multiple,,Vertader,Física.
159,La órbita geoestacionaria está a 36.000 km.,multiple,,Vertader,Sincronizada.
160,La termodinámica estudia el equilibrio.,multiple,,Vertader,Estados estables.
161,"El punto triple del agua es donde coexisten sólido, líquido y gas.",multiple,,Vertader,0.01 °C.
162,El punto crítico es donde desaparece la distinción líquido-gas.,multiple,,Vertader,374 °C para agua.
163,El calor latente de vaporización del agua es muy alto.,multiple,,Vertader,2260 kJ/kg.
164,El calor específico del agua es 4.18 kJ/kgK.,multiple,,Vertader,1 cal/gC.
165,Un gas ideal cumple PV=nRT.,multiple,,Vertader,Modelo simple.
166,El aire se puede aproximar a gas ideal.,multiple,,Vertader,A presiones normales.
167,La constante adiabática del aire (gamma) es 1.4.,multiple,,Vertader,Cp/Cv.
168,Cp > Cv en gases.,multiple,,Vertader,Mayer: Cp - Cv = R.
169,El trabajo de expansión es positivo.,multiple,,Vertader,Sistema hace trabajo.
170,El trabajo de compresión es negativo.,multiple,,Vertader,Se hace trabajo sobre sistema.
171,El calor absorbido es positivo.,multiple,,Vertader,Entra energía.
172,El calor cedido es negativo.,multiple,,Vertader,Sale energía.
173,El cero absoluto es -273.15 °C.,multiple,,Vertader,0 Kelvin.
174,La escala Kelvin no tiene valores negativos.,multiple,,Vertader,Absoluta.
175,La escala Rankine es la absoluta Fahrenheit.,multiple,,Vertader,Inglesa.
176,1 bar son 100.000 Pascales.,multiple,,Vertader,Presión.
177,1 atmósfera son 101.325 Pa.,multiple,,Vertader,Presión estándar.
178,1 psi es una libra por pulgada cuadrada.,multiple,,Vertader,Pound per square inch.
179,El manómetro mide la presión relativa (manométrica).,multiple,,Vertader,P_abs - P_atm.
180,El vacío absoluto es 0 Pa.,multiple,,Vertader,Sin materia.
181,La cavitación produce burbujas de vapor en zonas de baja presión.,multiple,,Vertader,Daña bombas/hélices.
182,El golpe de ariete es un pico de presión por frenar fluido.,multiple,,Vertader,Cierre válvula.
183,El flujo laminar es ordenado.,multiple,,Vertader,Reynolds bajo.
184,El flujo turbulento es caótico.,multiple,,Vertader,Reynolds alto.
185,La capa límite está pegada a la pared.,multiple,,Vertader,Velocidad cero.
186,El tubo Venturi mide caudal por depresión.,multiple,,Vertader,Bernoulli.
187,EL tubo Pitot mide velocidad por presión de impacto.,multiple,,Vertader,Aviones.
188,Un intercooler aire-aire usa aire ambiente para enfriar.,multiple,,Vertader,Radiador frontal.
189,Un intercooler aire-agua usa el circuito de refrigeración.,multiple,,Vertader,Más estable.
190,El termostato regula la temperatura del motor.,multiple,,Vertader,Abre paso al radiador.
191,El electroventilador fuerza aire en el radiador.,multiple,,Vertader,Si no hay velocidad.
192,La bomba de agua suele ser centrífuga.,multiple,,Vertader,Mueve el refrigerante.
193,El refrigerante lleva anticongelante (Glicol).,multiple,,Vertader,Baja punto congelación y sube ebullición.
194,El cárter seco usa bombas de recuperación.,multiple,,Vertader,Competición/Aviones.
195,El cárter húmedo almacena el aceite en el fondo.,multiple,,Vertader,Coches normales.
196,El filtro de aceite tiene válvula de bypass.,multiple,,Vertader,Por si se obstruye.
197,La presión de aceite se mide tras la bomba.,multiple,,Vertader,Testigo rojo.
198,El consumo específico (SFC) mide combustible por potencia.,multiple,,Vertader,g/kWh.
199,El rendimiento volumétrico mide cuánto aire entra real vs teórico.,multiple,,Vertader,Respiración del motor.
200,La admisión variable mejora el rendimiento volumétrico.,multiple,,Vertader,Resonancia.
201,El escape sintonizado ayuda a vaciar el cilindro.,multiple,,Vertader,Ondas de presión.
202,La sonda Lambda mide oxígeno en escape.,multiple,,Vertader,Ajuste mezcla.
203,El catalizador necesita estar caliente para funcionar.,multiple,,Vertader,Light-off temp.
204,El motor híbrido paralelo suma potencia eléctrica y térmica.,multiple,,Vertader,Ambos empujan.
205,El motor híbrido serie usa el térmico solo como generador.,multiple,,Vertader,Tracción eléctrica.
206,El coche eléctrico tiene par máximo desde cero RPM.,multiple,,Vertader,Característica motor eléctrico.
207,El freno regenerativo recupera energía al detenerse.,multiple,,Vertader,Carga batería.
208,KERS significa Kinetic Energy Recovery System.,multiple,,Vertader,F1.
209,El ciclo WLT es el estándar de homologación actual.,multiple,,Vertader,WLTP (Worldwide).
210,La norma Euro 6 limita severamente los NOx.,multiple,,Vertader,Anticontaminación.
211,La gasolina sin plomo usa aditivos antidetonantes distintos al plomo.,multiple,,Vertader,MTBE/ETBE.
212,El plomo dañaba el catalizador.,multiple,,Vertader,Venenoso.
213,El azufre en el diésel genera lluvia ácida y daña filtros.,multiple,,Vertader,Se ha reducido mucho (ULSD).
214,El motor bóxer tiene cilindros opuestos.,multiple,,Vertader,Centro gravedad bajo (Porsche/Subaru).
215,El motor en V es más corto que en línea.,multiple,,Vertader,Compacto.
216,El motor en línea es más fácil de equilibrar (L6).,multiple,,Vertader,Suave.
217,El motor monocilíndrico vibra mucho.,multiple,,Vertader,Necesita eje equilibrado.
218,La cilindrada total es cilindrada unitaria x número de cilindros.,multiple,,Vertader,V_tot.
