numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
11,¿Cuál de las siguientes afirmaciones es cierta?,multiple,"Un encoder angular absoluto no permite conocer la dirección de giro de un determinado
elemento.|Un encoder no permite, en ningún caso, conocer una longitud recorrida por un determinado
elemento.|Algunos encoders angulares incrementales permiten conocer la dirección de giro de un
determinado elemento.|Las otras tres afirmaciones son falsas.","Algunos encoders angulares incrementales permiten conocer la dirección de giro de un
determinado elemento.",Los encoders incrementales con dos canales (cuadratura) permiten inferir el sentido de giro comparando la fase entre señales.
12,"Indicar cuántas de las siguientes afirmaciones son ciertas sobre un sistema SCADA.
\n(i) Mantiene una copia de las variables de memoria del PLC.
\n(ii) El sistema presenta en pantalla, normalmente de forma gráfica, el estado del sistema
que controla el PLC.
\n(iii) Puede modificar las consignas del PLC.",multiple,Las tres afirmaciones.|Sólo dos de las tres afirmaciones.|Sólo una de las tres afirmaciones.|Ninguna de las tres afirmaciones.,Las tres afirmaciones.,"Un SCADA suele replicar variables del PLC, visualizar el estado del proceso y permitir modificar consignas/valores de control."
13,"¿Cuál de las siguientes hipótesis no se hace en el modelo de tiempo de fabricación que
se utiliza para determinar el lote crítico?",multiple,El tiempo de preparación de máquina es independiente de la pieza que se hacía antes.|Las paradas son siempre programadas.|El tiempo de ciclo es aleatorio.|Las paradas son siempre regulares.,El tiempo de ciclo es aleatorio.,El modelo típico para lote crítico asume tiempos deterministas (no aleatorios) para poder comparar sistemas; por eso no se asume aleatoriedad del ciclo.
14,"Para servir un pedido se puede escoger entre un sistema de fabricación rígido y uno
flexible. Se podrá acabar antes la producción si:",multiple,"Se utiliza un sistema flexible siempre que el pedido sea inferior al lote crítico.|Se utiliza un sistema rígido siempre que el pedido sea inferior al lote crítico.|Se utiliza un sistema flexible siempre que el pedido sea superior al lote crítico.|El lote crítico tiene que ver con la reducción de costes, no con la rapidez al servir pedidos.",Se utiliza un sistema flexible siempre que el pedido sea inferior al lote crítico.,"Para pedidos pequeños (por debajo del lote crítico), la flexibilidad compensa la menor productividad por menores tiempos de preparación/cambios."
15,"¿Cuál de los siguientes elementos NO acostumbra a formar parte de una Célula de
Fabricación Flexible?",multiple,Proceso de fabricación de la pieza.|Gestión del desgaste de las herramientas.|Transporte de piezas entre máquinas.|Verificación de las piezas fabricadas.,Gestión del desgaste de las herramientas.,"En una FMS es habitual integrar proceso, transporte y verificación; la gestión del desgaste de herramientas puede existir, pero no suele considerarse parte básica del conjunto."
16,"Indicar cuántas de las siguientes afirmaciones se consideran ventajas principales de los
métodos matriciales para la agrupación de piezas:
\n(i) Permite agrupar piezas en función de su proceso de fabricación.
\n(ii) Siempre da como resultado un número fijo de células totalmente separadas.
\n(iii) Tiene en cuenta la saturación de las máquinas.",multiple,Las tres afirmaciones.|Sólo dos de las tres afirmaciones.|Sólo una de las tres afirmaciones.|Ninguna de las tres afirmaciones.,Sólo una de las tres afirmaciones.,"De las tres, sólo (i) es ventaja típica; (ii) es falso y (iii) no suele estar contemplado en métodos matriciales básicos."
17,"Respecto a la metodología SMED, ¿cuál de las siguientes afirmaciones es cierta?",multiple,"Siempre es necesario aplicar las tres etapas de la metodología SMED.|La etapa 2 de la metodología SMED consigue reducir el tiempo total de preparación respecto
a los resultados obtenidos en la etapa 1.|Se aplica habitualmente a los procesos de fabricación que se consideran altamente flexibles.|Las otras tres afirmaciones son falsas.",Las otras tres afirmaciones son falsas.,"La afirmación correcta es que las otras tres son falsas: no siempre hacen falta las 3 etapas, la etapa 2 suele convertir internas en externas y la SMED se aplica sobre todo a procesos poco flexibles con setups altos."
18,"En el caso de la reducción del tiempo de preparación de una prensa de estampación de
chapa, ¿cuál de los siguientes elementos formaría parte de la etapa 3 de la metodología
SMED?",multiple,"Centradores de matrices para la mesa inferior de la prensa.|Mesa inferior móvil.|Espacio habilitado junto a la máquina para depositar la matriz que se debe montar a
continuación.|Ninguno de los otros tres elementos.",Mesa inferior móvil.,La etapa 3 de SMED incluye mejoras técnicas/mecanización para acelerar el cambio; una mesa inferior móvil es un ejemplo.
19,"Respecto a los Sistemas Integrados de Fabricación, ¿cuál de las siguientes afirmaciones
es cierta?",multiple,"El concepto de fabricación integrada por ordenador se empezó a implantar a finales de los
años 90.|Permite adaptarse fácilmente a cambios no previstos.|Siempre es recomendable integrar todos los elementos que componen un sistema productivo.|Permite aumentar la calidad de los productos fabricados.",Permite aumentar la calidad de los productos fabricados.,"La integración (CIM/SIF) suele mejorar la calidad al reducir errores, aumentar trazabilidad y controlar mejor el proceso."
20,"Respecto a la Fábrica 4.0, ¿cuál de las siguientes afirmaciones NO es cierta?",multiple,"Se fundamenta en la aplicación extensiva de las tecnologías de la información y de los
sistemas ciberfísicos.|Se aplica únicamente a la impresión 3D.|En muchos casos, utiliza el concepto de Digital Twins.|La ciberseguridad forma parte principal del sistema.",Se aplica únicamente a la impresión 3D.,Industria 4.0 no se limita a impresión 3D; aplica tecnologías digitales y ciberfísicas a muchos procesos industriales.
