numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
44,SMED significa...,multiple,Single Minute Exchange of Die|Standard Manufacturing Equipment Design|System Maintenance and Engineering Department|Safe Manufacturing Environment Design,Single Minute Exchange of Die,Cambio de herramienta/útil en menos de 10 minutos (un solo dígito).
45,El objetivo del SMED es...,multiple,Reducir el tiempo de preparación para permitir lotes más pequeños|Aumentar la velocidad de corte|Reducir plantilla|Mejorar la calidad,Reducir el tiempo de preparación para permitir lotes más pequeños,Aporta flexibilidad y reduce stock.
46,"En SMED, las operaciones internas son aquellas que...",multiple,Solo se pueden hacer con la máquina parada|Se pueden hacer con la máquina en marcha|Se hacen fuera de la fábrica|No son necesarias,Solo se pueden hacer con la máquina parada,El objetivo es convertir internas en externas.
47,"En SMED, las operaciones externas se pueden realizar con la máquina produciendo.",multiple,,Vertader,Preparar el siguiente útil mientras la máquina trabaja.
48,El sistema de sujeción 'Punto Cero' facilita el cambio rápido.,multiple,,Vertader,Garantiza la posición sin necesidad de reglar o centrar cada vez.
49,CIM significa...,multiple,Computer Integrated Manufacturing|Computer Intelligent Machine|Central Information Management|Control Industrial Manufacturing,Computer Integrated Manufacturing,Integración total de la fabricación por ordenador.
50,La pirámide CIM estructura la automatización en niveles. El nivel más bajo es...,multiple,Nivel de Proceso/Campo (Sensores/Actuadores)|Nivel de Máquina|Nivel de Célula|Nivel de Fábrica,Nivel de Proceso/Campo (Sensores/Actuadores),Donde interactúa el hardware físico.
51,Un sistema ERP (Enterprise Resource Planning) se sitúa en el nivel de...,multiple,Gestión o empresa|Control de máquina|Célula|Campo,Gestión o empresa,"Gestiona pedidos, compras, finanzas, RRHH."
52,Un sistema MES (Manufacturing Execution System) sirve para...,multiple,Gestionar y monitorizar la producción en planta en tiempo real|Diseñar piezas|Programar PLCs|Contabilidad,Gestionar y monitorizar la producción en planta en tiempo real,Puente entre el ERP y el control de planta.
53,Industria 4.0 se caracteriza por...,multiple,"Interconectividad, Big Data, IoT y sistemas ciberfísicos|Uso de vapor|Producción en cadena eléctrica|Transistores","Interconectividad, Big Data, IoT y sistemas ciberfísicos",Cuarta revolución industrial.
54,El 'Gemelo Digital' (Digital Twin) es...,multiple,Una réplica virtual del sistema físico para simulación y análisis|Un backup de datos|Dos máquinas iguales|Un robot duplicado,Una réplica virtual del sistema físico para simulación y análisis,Permite prever comportamientos y optimizar sin parar la producción.
55,El Diseño para el Montaje (DFA) recomienda...,multiple,Reducir el número de piezas y unificar direcciones de montaje|Aumentar el número de tornillos|Usar piezas flexibles|Ocultar las uniones,Reducir el número de piezas y unificar direcciones de montaje,Simplifica el ensamblaje y reduce costes.
56,La Ingeniería Concurrente implica...,multiple,Diseñar producto y proceso simultáneamente con equipos multidisciplinares|Diseñar primero y fabricar después (secuencial)|Contratar más ingenieros|Usar ordenadores rápidos,Diseñar producto y proceso simultáneamente con equipos multidisciplinares,Reduce el Time-to-Market y evita errores tardíos.
57,CAD significa Diseño Asistido por Ordenador.,multiple,,Vertader,Computer Aided Design.
58,CAM significa...,multiple,Computer Aided Manufacturing|Computer Aided Mechanics|Control And Management|Computer Advanced Machine,Computer Aided Manufacturing,Generación de trayectorias (G-code) desde el modelo 3D.
59,CAE significa Ingeniería Asistida por Ordenador (Simulación/Cálculo).,multiple,,Vertader,Computer Aided Engineering (ej. Elementos Finitos FEM).
60,CAPP significa...,multiple,Computer Aided Process Planning|Computer Aided Part Production|Control Automatic Part Placement|Computer Advanced Program Planning,Computer Aided Process Planning,Planificación automática de procesos (hòjas de ruta).
61,El formato STEP es un estándar neutro para intercambio de modelos CAD.,multiple,,Vertader,"Permite pasar 3D entre distintos programas (Solidworks, Catia, etc.)."
62,Un sistema PLM (Product Lifecycle Management) gestiona...,multiple,Toda la información del producto desde su concepción hasta su reciclaje|Solo el diseño CAD|Solo la producción|Las ventas,Toda la información del producto desde su concepción hasta su reciclaje,Gestión integral del ciclo de vida.
63,G04 es el código de pausa (Dwell).,multiple,,Vertader,Detiene el avance un tiempo determinado.
64,G17 selecciona el plano XY.,multiple,,Vertader,"G18 XZ, G19 YZ."
65,G20/G21 selecciona unidades (Pulgadas/Milímetros).,multiple,,Vertader,Normalmente G21 para mm.
66,G28 vuelve al Home (Punto de referencia).,multiple,,Vertader,Retorno a referencia máquina.
67,G40 cancela la compensación de radio.,multiple,,Vertader,Desactiva G41/G42.
68,G43 compensa la longitud de la herramienta.,multiple,,Vertader,Compensación de altura H.
69,G90 indica coordenadas absolutas.,multiple,,Vertader,Respecto al origen.
70,G91 indica coordenadas incrementales.,multiple,,Vertader,Respecto al punto anterior.
71,G94 define el avance en mm/min.,multiple,,Vertader,G95 en mm/rev.
72,M00 es parada programada (incondicional).,multiple,,Vertader,Detiene el programa hasta pulsar marcha.
73,M01 es parada opcional.,multiple,,Vertader,Solo para si el switch 'Optional Stop' está activo.
74,M06 cambia la herramienta.,multiple,,Vertader,Ejecuta el cambio físico.
75,M08 enciende refrigerante (Coolant On).,multiple,,Vertader,M09 lo apaga.
76,M30 finaliza el programa y rebobina.,multiple,,Vertader,Vuelve al inicio.
77,La cinemática directa calcula la posición del TCP a partir de los ángulos de las articulaciones.,multiple,,Vertader,Ángulos -> Coord Cartesianas.
78,La cinemática inversa calcula los ángulos necesarios para lograr una posición TCP.,multiple,,Vertader,Coord Cartesianas -> Ángulos.
79,La singularidad de un robot es una posición donde pierde grados de libertad o control.,multiple,,Vertader,Suele provocar movimientos bruscos o error.
80,El 'teach pendant' es el mando de programación manual del robot.,multiple,,Vertader,Consola de enseñanza.
81,Un robot colaborativo (Cobot) puede trabajar junto a humanos sin vallado (bajo condiciones).,multiple,,Vertader,Tienen sensores de fuerza/par y limitaciones de potencia.
82,Un sensor fotoeléctrico de barrera tiene emisor y receptor separados.,multiple,,Vertader,Detecta cuando se corta el haz.
83,Un sensor reflex tiene emisor y receptor en el mismo cuerpo y usa espejo.,multiple,,Vertader,Más fácil de cablear.
84,Los sensores PNP son comunes en Europa.,multiple,,Vertader,Conmutan a positivo (+24V). NPN conmuta a 0V.
85,GRAFCET es un diagrama funcional para representar automatismos secuenciales.,multiple,,Vertader,"Etapas, Transiciones y Acciones."
86,Una etapa activa en GRAFCET habilita sus transiciones posteriores.,multiple,,Vertader,Regla de evolución.
87,El Just in Time (JIT) busca reducir el stock a cero.,multiple,,Vertader,Producir lo necesario en el momento necesario.
88,Kanban es una tarjeta o señal para controlar el flujo pull (tirar) de producción.,multiple,,Vertader,Herramienta visual del JIT.
89,El control de calidad estadístico (SPC) usa gráficos de control.,multiple,,Vertader,Para detectar desviaciones del proceso.
90,Six Sigma busca reducir la variabilidad del proceso (3.4 defectos por millón).,multiple,,Vertader,Metodología de mejora calidad.
91,El mantenimiento correctivo se hace cuando la máquina se rompe.,multiple,,Vertader,No planificado.
92,El mantenimiento preventivo se hace por tiempo o ciclos.,multiple,,Vertader,Planificado para evitar averías.
93,"El mantenimiento predictivo se basa en monitorizar el estado (vibraciones, temperatura).",multiple,,Vertader,Para intervenir justo antes del fallo.
94,TPM significa Total Productive Maintenance.,multiple,,Vertader,Involucra a todos los operarios en el mantenimiento.
95,OEE (Overall Equipment Effectiveness) mide la eficiencia global (Disponibilidad x Rendimiento x Calidad).,multiple,,Vertader,Indicador clave en TPM.
96,Andon es un sistema de señales visuales/sonoras para alertar problemas.,multiple,,Vertader,Semáforos en máquinas.
97,Kaizen significa mejora continua.,multiple,,Vertader,Filosofía japonesa.
98,5S es una técnica de orden y limpieza.,multiple,,Vertader,"Seiri, Seiton, Seiso, Seiketsu, Shitsuke."
99,El layout en U favorece el trabajo en equipo y la flexibilidad.,multiple,,Vertader,Entrada y salida cercanas.
100,El diagrama de Gantt sirve para planificar tareas en el tiempo.,multiple,,Vertader,Gestión de proyectos/producción.
101,El MRP (Material Requirements Planning) calcula qué materiales comprar y cuándo.,multiple,,Vertader,Basado en lista de materiales y demanda.
102,"El MRP II incluye también capacidad y recursos (dinero, máquinas).",multiple,,Vertader,Evolución del MRP.
103,El RFID usa ondas de radio para identificar etiquetas.,multiple,,Vertader,Radio Frequency Identification (alternativa al código de barras).
104,El código de barras requiere línea de visión directa.,multiple,,Vertader,El láser debe ver la etiqueta. RFID no.
105,"Una fresadora de 3 ejes tiene X, Y, Z.",multiple,,Vertader,Básicos.
106,Un torno CNC básico tiene 2 ejes: X y Z.,multiple,,Vertader,"X (diámetro), Z (longitud)."
107,"En un torno, el eje X controla el diámetro.",multiple,,Vertader,Transversal.
108,"En un torno, el eje Z es el eje de giro del cabezal.",multiple,,Vertader,Longitudinal.
109,La Regla de la Mano Derecha define los ejes en CNC.,multiple,,Vertader,"Dedo pulgar X, índice Y, medio Z."
110,El eje rotativo alrededor de X se llama A.,multiple,,Vertader,Convención ISO.
111,El eje rotativo alrededor de Y se llama B.,multiple,,Vertader,Convención ISO.
112,El eje rotativo alrededor de Z se llama C.,multiple,,Vertader,Convención ISO.
113,Una máquina de 5 ejes puede mecanizar geometrías complejas (álabes).,multiple,,Vertader,Orienta la herramienta.
114,La electroerosión por hilo (WEDM) usa un hilo conductor para cortar.,multiple,,Vertader,Por descargas eléctricas.
115,La electroerosión solo funciona con materiales conductores.,multiple,,Vertader,Necesita circuito eléctrico.
116,El corte por láser puede cortar metal y plástico.,multiple,,Vertader,Térmico.
117,El corte por chorro de agua no afecta térmicamente al material.,multiple,,Vertader,Proceso en frío (abrasivo).
118,La inyección de plástico es un proceso de ciclo rápido.,multiple,,Vertader,Alta producción.
119,El molde de inyección suele refrigerarse con agua.,multiple,,Vertader,Para solidificar rápido.
120,La impresión 3D FDM usa filamento plástico.,multiple,,Vertader,Fused Deposition Modeling.
121,El SLA usa resina líquida y láser UV.,multiple,,Vertader,Estereolitografía.
122,El SLS usa polvo y láser.,multiple,,Vertader,Sinterizado Selectivo Láser.
123,"En automatización, NO (Normally Open) significa abierto en reposo.",multiple,,Vertader,Cierra al activar.
124,NC (Normally Closed) significa cerrado en reposo.,multiple,,Vertader,Abre al activar.
125,Una electroválvula monoestable tiene retorno por muelle.,multiple,,Vertader,Necesita señal continua para estar activa.
126,Una electroválvula biestable tiene memoria de posición.,multiple,,Vertader,Cambia con un pulso.
127,El cilindro neumático de simple efecto tiene un solo orificio de aire.,multiple,,Vertader,Retorno muelle.
128,El cilindro de doble efecto tiene dos orificios (avance/retroceso).,multiple,,Vertader,"Aire para ir, aire para volver."
129,El final de carrera es un sensor de contacto.,multiple,,Vertader,Mecánico.
130,Un encoder absoluto recuerda la posición al apagar.,multiple,,Vertader,No necesita búsqueda de referencia.
131,Un encoder incremental necesita buscar referencia al encender.,multiple,,Vertader,Cuenta pulsos desde cero.
132,El servomotor es ideal para control preciso de posición.,multiple,,Vertader,CNC y robots.
133,El motor trifásico asíncrono es el más robusto para industria general.,multiple,,Vertader,Jaula de ardilla.
134,Un contactor tiene contactos de potencia y auxiliares.,multiple,,Vertader,"Potencia para motor, auxiliares para mando."
135,La seta de emergencia debe ser roja sobre fondo amarillo.,multiple,,Vertader,Normativa seguridad.
136,La seta de emergencia debe tener enclavamiento mecánico.,multiple,,Vertader,Hay que desenclavar para rearmar.
137,El relé de seguridad supervisa la parada de emergencia.,multiple,,Vertader,Doble canal redundante.
138,Una barrera inmaterial protege al operario sin contacto físico.,multiple,,Vertader,Cortina de luz.
139,El mando a dos manos obliga a tener las manos ocupadas para prensar.,multiple,,Vertader,Seguridad prensas.
140,La ISO 9001 es la norma de gestión de calidad.,multiple,,Vertader,Estándar mundial.
141,La ISO 14001 es la norma de gestión ambiental.,multiple,,Vertader,Medio ambiente.
142,El diagrama de Ishikawa (Espina de Pescado) analiza causas-efecto.,multiple,,Vertader,Herramienta calidad.
143,El Pareto dice que el 80% de problemas viene del 20% de causas.,multiple,,Vertader,Priorizar.
144,AMFE significa Análisis Modal de Fallos y Efectos.,multiple,,Vertader,FMEA en inglés. Prever riesgos.
145,El tiempo de ciclo es el tiempo entre dos piezas buenas consecutivas.,multiple,,Vertader,Cadencia producción.
146,El tiempo de tacto (Takt Time) es el ritmo de la demanda del cliente.,multiple,,Vertader,La producción debe ajustarse al Takt.
147,"Si Ciclo > Takt, hay que producir más rápido.",multiple,,Vertader,O no llegamos a la demanda.
148,El stock de seguridad cubre variaciones imprevistas.,multiple,,Vertader,Amortiguador.
149,El cuello de botella determina la capacidad máxima del sistema.,multiple,,Vertader,La cadena es tan fuerte como el eslabón débil.
150,La trazabilidad permite saber el historial de una pieza.,multiple,,Vertader,"Lote, fecha, máquina, materiales."
151,Un plano de conjunto muestra cómo van montadas las piezas.,multiple,,Vertader,Visión general.
152,El despiece son los planos individuales de cada componente.,multiple,,Vertader,Para fabricar.
153,La tolerancia geométrica controla forma y posición.,multiple,,Vertader,"Rectitud, planitud, perpendicularidad..."
154,"La tolerancia dimensional controla medidas (largo, diámetro).",multiple,,Vertader,+/- mm.
155,El ajuste H7/g6 es un ajuste con juego (móvil).,multiple,,Vertader,"Agujero base H, eje g (menor)."
156,El ajuste H7/p6 es un ajuste con apriete (fijo).,multiple,,Vertader,Eje p (mayor).
157,La rugosidad Ra mide la media aritmética de desviaciones del perfil.,multiple,,Vertader,Micrómetros.
158,El micrómetro es más preciso que el pie de rey.,multiple,,Vertader,Centésima/Milésima vs Décima/Centésima.
159,El comparador mide diferencias de medida.,multiple,,Vertader,"No absoluto, sino relativo o forma."
160,El goniómetro mide ángulos.,multiple,,Vertader,Grados.
161,La MMC (CMM) mide coordenadas 3D automáticamente.,multiple,,Vertader,Control calidad preciso.
